cause,icd_code,year,sex,deaths,population,crude_rate_per_100k
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2024,female,7360,27194286,27.06450906635313
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2024,persons,12330,27194286,45.34040717230083
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2014,male,3051,23475686,12.996425322778638
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2014,female,5620,23475686,23.939662508690905
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2014,persons,8671,23475686,36.93608783146954
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2015,male,3283,23815995,13.78485341469042
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2015,female,5738,23815995,24.093051749465012
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2015,persons,9021,23815995,37.877905164155436
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2016,male,3510,24190907,14.509584117701745
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2016,female,6071,24190907,25.09620660358043
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2016,persons,9581,24190907,39.605790721282176
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2017,male,3658,24592588,14.874400368110912
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2017,female,6333,24592588,25.75166143555123
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2017,persons,9991,24592588,40.62606180366214
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2018,male,3590,24963258,14.381135667467765
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2018,female,6280,24963258,25.156972699637205
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2018,persons,9870,24963258,39.53810836710497
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2019,male,3809,25334826,15.034640458947695
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2019,female,6625,25334826,26.149775017203588
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2019,persons,10434,25334826,41.18441547615129
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2020,male,3699,25649248,14.421475436628784
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2020,female,6434,25649248,25.084556085231036
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2020,persons,10133,25649248,39.506031521859825
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2021,male,3882,25685412,15.113637266164936
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2021,female,6794,25685412,26.4508118460393
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2021,persons,10676,25685412,41.56444911220424
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2022,male,4269,26018721,16.40741679808166
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2022,female,7331,26018721,28.175866138846718
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2022,persons,11600,26018721,44.58328293692838
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2023,male,4130,26659922,15.491418166939873
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2023,female,7030,26659922,26.369169422176107
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2023,persons,11160,26659922,41.86058758911598
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2024,male,4514,27194286,16.599075261619298
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2024,female,7113,27194286,26.156230025675246
"Organic, including symptomatic, mental disorders (F00-F09)",F00-F09,2024,persons,11627,27194286,42.75530528729455
Vascular dementia (F01),F01,2014,male,513,23475686,2.1852396560424263
Vascular dementia (F01),F01,2014,female,687,23475686,2.9264320539983366
Vascular dementia (F01),F01,2014,persons,1200,23475686,5.1116717100407625
Vascular dementia (F01),F01,2015,male,534,23815995,2.24219059501818
Vascular dementia (F01),F01,2015,female,674,23815995,2.8300308259218228
Vascular dementia (F01),F01,2015,persons,1208,23815995,5.072221420940003
Vascular dementia (F01),F01,2016,male,596,24190907,2.4637356507550545
Vascular dementia (F01),F01,2016,female,717,24190907,2.9639235932741173
Vascular dementia (F01),F01,2016,persons,1313,24190907,5.427659244029171
Vascular dementia (F01),F01,2017,male,634,24592588,2.578012529628846
Vascular dementia (F01),F01,2017,female,780,24592588,3.171687339291009
Vascular dementia (F01),F01,2017,persons,1414,24592588,5.749699868919855
Vascular dementia (F01),F01,2018,male,657,24963258,2.6318680037677775
Vascular dementia (F01),F01,2018,female,730,24963258,2.924297781964197
Vascular dementia (F01),F01,2018,persons,1387,24963258,5.556165785731975
Vascular dementia (F01),F01,2019,male,685,25334826,2.70378805838256
Vascular dementia (F01),F01,2019,female,830,25334826,3.2761227568722986
Vascular dementia (F01),F01,2019,persons,1515,25334826,5.9799108152548595
Vascular dementia (F01),F01,2020,male,800,25649248,3.11899982408841
Vascular dementia (F01),F01,2020,female,967,25649248,3.7700910373668655
Vascular dementia (F01),F01,2020,persons,1767,25649248,6.8890908614552755
Vascular dementia (F01),F01,2021,male,792,25685412,3.0834623170537427
Vascular dementia (F01),F01,2021,female,994,25685412,3.8699009383225
Vascular dementia (F01),F01,2021,persons,1786,25685412,6.953363255376242
Vascular dementia (F01),F01,2022,male,877,26018721,3.3706499254901883
Vascular dementia (F01),F01,2022,female,1000,26018721,3.8433864600800325
Vascular dementia (F01),F01,2022,persons,1877,26018721,7.214036385570221
Vascular dementia (F01),F01,2023,male,874,26659922,3.278329171405678
Vascular dementia (F01),F01,2023,female,1060,26659922,3.9760056312242775
Vascular dementia (F01),F01,2023,persons,1934,26659922,7.2543348026299554
Vascular dementia (F01),F01,2024,male,983,27194286,3.614729947313197
Vascular dementia (F01),F01,2024,female,1098,27194286,4.037612901474964
Vascular dementia (F01),F01,2024,persons,2081,27194286,7.652342848788161
Unspecified dementia (F03),F03,2014,male,2395,23475686,10.202044787956355
Unspecified dementia (F03),F03,2014,female,4802,23475686,20.45520629301312
Unspecified dementia (F03),F03,2014,persons,7197,23475686,30.657251080969473
Unspecified dementia (F03),F03,2015,male,2597,23815995,10.904436283262571
Unspecified dementia (F03),F03,2015,female,4915,23815995,20.63739096351003
Unspecified dementia (F03),F03,2015,persons,7512,23815995,31.5418272467726
Unspecified dementia (F03),F03,2016,male,2772,24190907,11.458851046800355
Unspecified dementia (F03),F03,2016,female,5205,24190907,21.516349097617546
Unspecified dementia (F03),F03,2016,persons,7977,24190907,32.975200144417904
Unspecified dementia (F03),F03,2017,male,2939,24592588,11.950755243815738
Unspecified dementia (F03),F03,2017,female,5460,24592588,22.201811375037064
Unspecified dementia (F03),F03,2017,persons,8399,24592588,34.1525666188528
Unspecified dementia (F03),F03,2018,male,2916,24963258,11.681167578366574
Unspecified dementia (F03),F03,2018,female,5525,24963258,22.132527733359165
Unspecified dementia (F03),F03,2018,persons,8441,24963258,33.81369531172574
Unspecified dementia (F03),F03,2019,male,3096,25334826,12.220332596718842
Unspecified dementia (F03),F03,2019,female,5759,25334826,22.73155536967177
Unspecified dementia (F03),F03,2019,persons,8855,25334826,34.951887966390615
Unspecified dementia (F03),F03,2020,male,2879,25649248,11.224500616938165
Unspecified dementia (F03),F03,2020,female,5445,25649248,21.228692552701737
Unspecified dementia (F03),F03,2020,persons,8324,25649248,32.4531931696399
Unspecified dementia (F03),F03,2021,male,3063,25685412,11.925056915575269
Unspecified dementia (F03),F03,2021,female,5762,25685412,22.432967008666242
Unspecified dementia (F03),F03,2021,persons,8825,25685412,34.358023924241515
Unspecified dementia (F03),F03,2022,male,3364,26018721,12.929152051709229
Unspecified dementia (F03),F03,2022,female,6302,26018721,24.221021471424365
Unspecified dementia (F03),F03,2022,persons,9666,26018721,37.150173523133596
Unspecified dementia (F03),F03,2023,male,3234,26659922,12.130568123942748
Unspecified dementia (F03),F03,2023,female,5932,26659922,22.250627740021145
Unspecified dementia (F03),F03,2023,persons,9166,26659922,34.381195863963896
Unspecified dementia (F03),F03,2024,male,3503,27194286,12.88138250807541
Unspecified dementia (F03),F03,2024,female,5966,27194286,21.938432213296572
Unspecified dementia (F03),F03,2024,persons,9469,27194286,34.81981472137198
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2014,male,0,23475686,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2014,female,0,23475686,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2014,persons,0,23475686,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2015,male,0,23815995,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2015,female,0,23815995,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2015,persons,0,23815995,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2016,male,0,24190907,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2016,female,0,24190907,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2016,persons,0,24190907,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2017,male,0,24592588,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2017,female,0,24592588,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2017,persons,0,24592588,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2018,male,0,24963258,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2018,female,0,24963258,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2018,persons,0,24963258,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2019,male,0,25334826,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2019,female,0,25334826,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2019,persons,0,25334826,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2020,male,0,25649248,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2020,female,0,25649248,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2020,persons,0,25649248,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2021,male,0,25685412,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2021,female,0,25685412,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2021,persons,0,25685412,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2022,male,0,26018721,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2022,female,0,26018721,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2022,persons,0,26018721,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2023,male,1,26659922,0.0037509487087021487
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2023,female,0,26659922,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2023,persons,1,26659922,0.0037509487087021487
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2024,male,0,27194286,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2024,female,0,27194286,0
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",F04,2024,persons,0,27194286,0
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2014,male,140,23475686,0.5963616995047557
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2014,female,124,23475686,0.5282060767042122
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2014,persons,264,23475686,1.1245677762089679
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2015,male,152,23815995,0.6382265364096692
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2015,female,145,23815995,0.6088345248644871
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2015,persons,297,23815995,1.2470610612741564
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2016,male,140,24190907,0.5787298508485027
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2016,female,148,24190907,0.6118001280398457
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2016,persons,288,24190907,1.1905299788883486
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2017,male,84,24592588,0.34156632884672405
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2017,female,90,24592588,0.3659639237643472
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2017,persons,174,24592588,0.7075302526110713
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2018,male,14,24963258,0.05608242321575172
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2018,female,23,24963258,0.09213540956873498
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2018,persons,37,24963258,0.14821783278448672
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2019,male,25,25334826,0.0986783962913343
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2019,female,30,25334826,0.11841407554960116
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2019,persons,55,25334826,0.2170924718409355
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2020,male,17,25649248,0.06627874626187871
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2020,female,18,25649248,0.07017749604198922
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2020,persons,35,25649248,0.13645624230386794
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2021,male,23,25685412,0.08954499153060111
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2021,female,33,25685412,0.12847759654390595
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2021,persons,56,25685412,0.21802258807450703
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2022,male,24,26018721,0.09224127504192077
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2022,female,26,26018721,0.09992804796208084
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2022,persons,50,26018721,0.19216932300400164
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2023,male,17,26659922,0.06376612804793652
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2023,female,36,26659922,0.13503415351327736
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2023,persons,53,26659922,0.19880028156121388
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2024,male,21,27194286,0.07722210467301845
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2024,female,46,27194286,0.16915318166470708
"Delirium, not induced by alcohol and other psychoactive substances (F05)",F05,2024,persons,67,27194286,0.2463752863377255
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2014,male,3,23475686,0.012779179275101908
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2014,female,7,23475686,0.029818084975237785
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2014,persons,10,23475686,0.04259726425033969
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2015,male,0,23815995,0
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2015,female,2,23815995,0.008397717584337754
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2015,persons,2,23815995,0.008397717584337754
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2016,male,2,24190907,0.008267569297835753
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2016,female,1,24190907,0.004133784648917877
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2016,persons,3,24190907,0.012401353946753629
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2017,male,1,24592588,0.004066265819603857
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2017,female,2,24592588,0.008132531639207715
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2017,persons,3,24592588,0.012198797458811573
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2018,male,3,24963258,0.012017662117661084
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2018,female,2,24963258,0.00801177474510739
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2018,persons,5,24963258,0.020029436862768472
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2019,male,3,25334826,0.011841407554960116
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2019,female,5,25334826,0.019735679258266862
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2019,persons,8,25334826,0.03157708681322698
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2020,male,3,25649248,0.011696249340331538
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2020,female,4,25649248,0.01559499912044205
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2020,persons,7,25649248,0.027291248460773587
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2021,male,3,25685412,0.011679781503991448
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2021,female,5,25685412,0.019466302506652416
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2021,persons,8,25685412,0.031146084010643862
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2022,male,4,26018721,0.01537354584032013
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2022,female,3,26018721,0.011530159380240096
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2022,persons,7,26018721,0.026903705220560223
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2023,male,4,26659922,0.015003794834808595
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2023,female,2,26659922,0.007501897417404297
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2023,persons,6,26659922,0.02250569225221289
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2024,male,6,27194286,0.02206345847800527
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2024,female,3,27194286,0.011031729239002634
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),F06,2024,persons,9,27194286,0.0330951877170079
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2014,male,0,23475686,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2014,female,0,23475686,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2014,persons,0,23475686,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2015,male,0,23815995,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2015,female,1,23815995,0.004198858792168877
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2015,persons,1,23815995,0.004198858792168877
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2016,male,0,24190907,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2016,female,0,24190907,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2016,persons,0,24190907,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2017,male,0,24592588,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2017,female,0,24592588,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2017,persons,0,24592588,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2018,male,0,24963258,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2018,female,0,24963258,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2018,persons,0,24963258,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2019,male,0,25334826,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2019,female,1,25334826,0.003947135851653373
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2019,persons,1,25334826,0.003947135851653373
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2020,male,0,25649248,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2020,female,0,25649248,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2020,persons,0,25649248,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2021,male,1,25685412,0.0038932605013304827
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2021,female,0,25685412,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2021,persons,1,25685412,0.0038932605013304827
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2022,male,0,26018721,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2022,female,0,26018721,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2022,persons,0,26018721,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2023,male,0,26659922,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2023,female,0,26659922,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2023,persons,0,26659922,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2024,male,1,27194286,0.003677243079667545
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2024,female,0,27194286,0
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",F07,2024,persons,1,27194286,0.003677243079667545
Unspecified organic or symptomatic mental disorder (F09),F09,2014,male,0,23475686,0
Unspecified organic or symptomatic mental disorder (F09),F09,2014,female,0,23475686,0
Unspecified organic or symptomatic mental disorder (F09),F09,2014,persons,0,23475686,0
Unspecified organic or symptomatic mental disorder (F09),F09,2015,male,0,23815995,0
Unspecified organic or symptomatic mental disorder (F09),F09,2015,female,1,23815995,0.004198858792168877
Unspecified organic or symptomatic mental disorder (F09),F09,2015,persons,1,23815995,0.004198858792168877
Unspecified organic or symptomatic mental disorder (F09),F09,2016,male,0,24190907,0
Unspecified organic or symptomatic mental disorder (F09),F09,2016,female,0,24190907,0
Unspecified organic or symptomatic mental disorder (F09),F09,2016,persons,0,24190907,0
Unspecified organic or symptomatic mental disorder (F09),F09,2017,male,0,24592588,0
Unspecified organic or symptomatic mental disorder (F09),F09,2017,female,1,24592588,0.004066265819603857
Unspecified organic or symptomatic mental disorder (F09),F09,2017,persons,1,24592588,0.004066265819603857
Unspecified organic or symptomatic mental disorder (F09),F09,2018,male,0,24963258,0
Unspecified organic or symptomatic mental disorder (F09),F09,2018,female,0,24963258,0
Unspecified organic or symptomatic mental disorder (F09),F09,2018,persons,0,24963258,0
Unspecified organic or symptomatic mental disorder (F09),F09,2019,male,0,25334826,0
Unspecified organic or symptomatic mental disorder (F09),F09,2019,female,0,25334826,0
Unspecified organic or symptomatic mental disorder (F09),F09,2019,persons,0,25334826,0
Unspecified organic or symptomatic mental disorder (F09),F09,2020,male,0,25649248,0
Unspecified organic or symptomatic mental disorder (F09),F09,2020,female,0,25649248,0
Unspecified organic or symptomatic mental disorder (F09),F09,2020,persons,0,25649248,0
Unspecified organic or symptomatic mental disorder (F09),F09,2021,male,0,25685412,0
Unspecified organic or symptomatic mental disorder (F09),F09,2021,female,0,25685412,0
Unspecified organic or symptomatic mental disorder (F09),F09,2021,persons,0,25685412,0
Unspecified organic or symptomatic mental disorder (F09),F09,2022,male,0,26018721,0
Unspecified organic or symptomatic mental disorder (F09),F09,2022,female,0,26018721,0
Unspecified organic or symptomatic mental disorder (F09),F09,2022,persons,0,26018721,0
Unspecified organic or symptomatic mental disorder (F09),F09,2023,male,0,26659922,0
Unspecified organic or symptomatic mental disorder (F09),F09,2023,female,0,26659922,0
Unspecified organic or symptomatic mental disorder (F09),F09,2023,persons,0,26659922,0
Unspecified organic or symptomatic mental disorder (F09),F09,2024,male,0,27194286,0
Unspecified organic or symptomatic mental disorder (F09),F09,2024,female,0,27194286,0
Unspecified organic or symptomatic mental disorder (F09),F09,2024,persons,0,27194286,0
Mental and behavioural disorders due to psychoactive substance use (F10-F19),F10-F19,2014,male,209,23475686,0.8902828228320996
Mental and behavioural disorders due to psychoactive substance use (F10-F19),F10-F19,2014,female,55,23475686,0.2342849533768683
Mental and behavioural disorders due to psychoactive substance use (F10-F19),F10-F19,2014,persons,264,23475686,1.1245677762089679
