cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,mur_male,mur_female,mur_persons,icd_code,data_year
Bipolar affective disorder (F31),no.,6,14,20,275,268,543,27.2,45.833333333333336,19.142857142857142,27.15,F31,2023
Depressive episode (F32),no.,24,47,71,1948,1775,3723,52.4,81.16666666666667,37.765957446808514,52.436619718309856,F32,2023
Recurrent depressive disorder (F33),no.,0,0,0,0,3,3,NA,NA,NA,NA,F33,2023
Persistent mood [affective] disorders (F34),no.,0,0,0,4,0,4,NA,NA,NA,NA,F34,2023
Other mood [affective] disorders (F38),no.,0,0,0,0,3,3,NA,NA,NA,NA,F38,2023
Unspecified mood [affective] disorder (F39),no.,0,0,0,12,15,27,NA,NA,NA,NA,F39,2023
"Neurotic, stress-related and somatoform disorders (F40-F48)",no.,5,17,22,1150,1175,2325,105.7,230,69.11764705882354,105.68181818181819,F40-F48,2023
Phobic anxiety disorders (F40),no.,0,0,0,29,12,41,NA,NA,NA,NA,F40,2023
Other anxiety disorders (F41),no.,3,16,19,808,931,1739,91.5,269.3333333333333,58.1875,91.52631578947368,F41,2023
Obsessive-compulsive disorder (F42),no.,0,0,0,27,25,52,NA,NA,NA,NA,F42,2023
"Reaction to severe stress, and adjustment disorders (F43)",no.,2,1,3,282,194,476,158.7,141,194,158.66666666666666,F43,2023
Dissociative [conversion] disorders (F44),no.,0,0,0,1,7,8,NA,NA,NA,NA,F44,2023
Somatoform disorders (F45),no.,0,0,0,3,5,8,NA,NA,NA,NA,F45,2023
Other neurotic disorders (F48),no.,0,0,0,0,1,1,NA,NA,NA,NA,F48,2023
Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59),no.,3,12,15,58,80,138,9.2,19.333333333333332,6.666666666666667,9.2,F50-F59,2023
Eating disorders (F50),no.,2,12,14,12,60,72,5.1,6,5,5.142857142857143,F50,2023
Nonorganic sleep disorders (F51),no.,0,0,0,25,9,34,NA,NA,NA,NA,F51,2023
"Sexual dysfunction, not caused by organic disorder or disease (F52)",no.,0,0,0,3,0,3,NA,NA,NA,NA,F52,2023
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified (F53)",no.,0,0,0,0,6,6,NA,NA,NA,NA,F53,2023
Psychological and behavioural factors associated with disorders or diseases classified elsewhere (F54),no.,0,0,0,0,0,0,NA,NA,NA,NA,F54,2023
Abuse of non-dependence-producing substances (F55),no.,1,0,1,17,5,22,22,17,NA,22,F55,2023
Unspecified behavioural syndromes associated with physiological disturbances and physical factors (F59),no.,0,0,0,1,0,1,NA,NA,NA,NA,F59,2023
Disorders of adult personality and behaviour (F60-F69),no.,1,0,1,89,108,197,197,89,NA,197,F60-F69,2023
Specific personality disorders (F60),no.,1,0,1,77,97,174,174,77,NA,174,F60,2023
Mixed and other personality disorders (F61),no.,0,0,0,1,1,2,NA,NA,NA,NA,F61,2023
"Enduring personality changes, not attributable to brain damage and disease (F62)",no.,0,0,0,0,1,1,NA,NA,NA,NA,F62,2023
Habit and impulse disorders (F63),no.,0,0,0,6,3,9,NA,NA,NA,NA,F63,2023
Gender identity disorders (F64),no.,0,0,0,2,3,5,NA,NA,NA,NA,F64,2023
Disorders of sexual preference (F65),no.,0,0,0,1,0,1,NA,NA,NA,NA,F65,2023
Psychological and behavioural disorders associated with sexual development and orientation (F66),no.,0,0,0,2,2,4,NA,NA,NA,NA,F66,2023
Other disorders of adult personality and behaviour (F68),no.,0,0,0,0,1,1,NA,NA,NA,NA,F68,2023
Unspecified disorder of adult personality and behaviour (F69),no.,0,0,0,0,0,0,NA,NA,NA,NA,F69,2023
Mental retardation (F70-F79),no.,4,5,9,149,152,301,33.4,37.25,30.4,33.44444444444444,F70-F79,2023
Mild mental retardation (F70),no.,0,0,0,0,1,1,NA,NA,NA,NA,F70,2023
Moderate mental retardation (F71),no.,0,0,0,0,0,0,NA,NA,NA,NA,F71,2023
Severe mental retardation (F72),no.,0,0,0,1,0,1,NA,NA,NA,NA,F72,2023
Profound mental retardation (F73),no.,0,0,0,0,0,0,NA,NA,NA,NA,F73,2023
Other mental retardation (F78),no.,0,0,0,1,0,1,NA,NA,NA,NA,F78,2023
Unspecified mental retardation (F79),no.,4,5,9,147,151,298,33.1,36.75,30.2,33.111111111111114,F79,2023
Disorders of psychological development (F80-F89),no.,1,2,3,120,43,163,54.3,120,21.5,54.333333333333336,F80-F89,2023
Specific developmental disorders of speech and language (F80),no.,0,0,0,3,0,3,NA,NA,NA,NA,F80,2023
Specific developmental disorders of scholastic skills (F81),no.,0,0,0,3,0,3,NA,NA,NA,NA,F81,2023
Specific developmental disorder of motor function (F82),no.,0,0,0,1,0,1,NA,NA,NA,NA,F82,2023
Mixed specific developmental disorders (F83),no.,0,0,0,0,0,0,NA,NA,NA,NA,F83,2023
Pervasive developmental disorders (F84),no.,0,2,2,97,38,135,67.5,NA,19,67.5,F84,2023
Other disorders of psychological development (F88),no.,0,0,0,4,1,5,NA,NA,NA,NA,F88,2023
Unspecified disorder of psychological development (F89),no.,1,0,1,12,4,16,16,12,NA,16,F89,2023
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90-F98),no.,0,0,0,188,52,240,NA,NA,NA,NA,F90-F98,2023
Hyperkinetic disorders (F90),no.,0,0,0,173,49,222,NA,NA,NA,NA,F90,2023
Conduct disorders (F91),no.,0,0,0,7,1,8,NA,NA,NA,NA,F91,2023
Mixed disorders of conduct and emotions (F92),no.,0,0,0,0,0,0,NA,NA,NA,NA,F92,2023
Emotional disorders with onset specific to childhood (F93),no.,0,0,0,0,0,0,NA,NA,NA,NA,F93,2023
Disorders of social functioning with onset specific to childhood and adolescence (F94),no.,0,0,0,0,1,1,NA,NA,NA,NA,F94,2023
Tic disorders (F95),no.,0,0,0,5,0,5,NA,NA,NA,NA,F95,2023
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),no.,0,0,0,3,1,4,NA,NA,NA,NA,F98,2023
Unspecified mental disorder (F99-F99),no.,0,0,0,218,77,295,NA,NA,NA,NA,F99-F99,2023
"Mental disorder, not otherwise specified (F99)",no.,0,0,0,218,77,295,NA,NA,NA,NA,F99,2023
