cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Early syphilis (A51),no.,0,0,0,0,1,1,NA,A51,NA,NA,NA
Late syphilis (A52),no.,0,0,0,3,0,3,NA,A52,NA,NA,NA
Other and unspecified syphilis (A53),no.,0,0,0,4,1,5,NA,A53,NA,NA,NA
Gonococcal infection (A54),no.,0,0,0,1,0,1,NA,A54,NA,NA,NA
Chlamydial lymphogranuloma (venereum) (A55),no.,0,0,0,0,0,0,NA,A55,NA,NA,NA
Other sexually transmitted chlamydial diseases (A56),no.,0,0,0,0,0,0,NA,A56,NA,NA,NA
Chancroid (A57),no.,0,0,0,0,0,0,NA,A57,NA,NA,NA
Granuloma inguinale (A58),no.,0,0,0,0,0,0,NA,A58,NA,NA,NA
Trichomoniasis (A59),no.,0,0,0,0,0,0,NA,A59,NA,NA,NA
Anogenital herpesviral [herpes simplex] infection (A60),no.,0,0,0,0,0,0,NA,A60,NA,NA,NA
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",no.,0,0,0,0,0,0,NA,A63,NA,NA,NA
Unspecified sexually transmitted disease (A64),no.,0,0,0,0,0,0,NA,A64,NA,NA,NA
Other spirochaetal diseases  (A65-A69),no.,0,0,0,3,1,4,NA,A65-A69,NA,NA,NA
Nonvenereal syphilis (A65),no.,0,0,0,0,0,0,NA,A65,NA,NA,NA
Yaws (A66),no.,0,0,0,0,0,0,NA,A66,NA,NA,NA
Pinta [carate] (A67),no.,0,0,0,0,0,0,NA,A67,NA,NA,NA
Relapsing fevers (A68),no.,0,0,0,0,0,0,NA,A68,NA,NA,NA
Other spirochaetal infections (A69),no.,0,0,0,3,1,4,NA,A69,NA,NA,NA
Other diseases caused by chlamydiae  (A70-A74),no.,1,0,1,2,1,3,3,A70-A74,2,NA,3
Chlamydia psittaci infection (A70),no.,1,0,1,1,1,2,2,A70,1,NA,2
Trachoma (A71),no.,0,0,0,0,0,0,NA,A71,NA,NA,NA
Other diseases caused by chlamydiae (A74),no.,0,0,0,1,0,1,NA,A74,NA,NA,NA
Rickettsioses  (A75-A79),no.,0,2,2,3,2,5,2.5,A75-A79,NA,1,2.5
Typhus fever (A75),no.,0,0,0,0,0,0,NA,A75,NA,NA,NA
Spotted fever [tick-borne rickettsioses] (A77),no.,0,1,1,0,1,1,1,A77,NA,1,1
Q fever (A78),no.,0,1,1,3,1,4,4,A78,NA,1,4
Other rickettsioses (A79),no.,0,0,0,0,0,0,NA,A79,NA,NA,NA
Viral infections of the central nervous system  (A80-A89),no.,52,40,92,69,45,114,1.2,A80-A89,1.3269230769230769,1.125,1.2391304347826086
Acute poliomyelitis (A80),no.,0,0,0,0,0,0,NA,A80,NA,NA,NA
Slow virus infections of central nervous system (A81),no.,39,34,73,51,35,86,1.2,A81,1.3076923076923077,1.0294117647058822,1.178082191780822
Rabies (A82),no.,0,0,0,0,0,0,NA,A82,NA,NA,NA
Mosquito-borne viral encephalitis (A83),no.,2,0,2,2,0,2,1,A83,1,NA,1
Tick-borne viral encephalitis (A84),no.,0,0,0,0,0,0,NA,A84,NA,NA,NA
"Other viral encephalitis, not elsewhere classified (A85)",no.,1,0,1,1,0,1,1,A85,1,NA,1
Unspecified viral encephalitis (A86),no.,9,6,15,14,8,22,1.5,A86,1.5555555555555556,1.3333333333333333,1.4666666666666666
Viral meningitis (A87),no.,1,0,1,1,1,2,2,A87,1,NA,2
"Other viral infections of central nervous system, not elsewhere classified (A88)",no.,0,0,0,0,0,0,NA,A88,NA,NA,NA
Unspecified viral infection of central nervous system (A89),no.,0,0,0,0,1,1,NA,A89,NA,NA,NA
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),no.,0,0,0,0,0,0,NA,A90-A99,NA,NA,NA
Dengue fever [classical dengue] (A90),no.,0,0,0,0,0,0,NA,A90,NA,NA,NA
Dengue haemorrhagic fever (A91),no.,0,0,0,0,0,0,NA,A91,NA,NA,NA
Other mosquito-borne viral fevers (A92),no.,0,0,0,0,0,0,NA,A92,NA,NA,NA
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",no.,0,0,0,0,0,0,NA,A93,NA,NA,NA
Unspecified arthropod-borne viral fever (A94),no.,0,0,0,0,0,0,NA,A94,NA,NA,NA
Yellow fever (A95),no.,0,0,0,0,0,0,NA,A95,NA,NA,NA
Arenaviral haemorrhagic fever (A96),no.,0,0,0,0,0,0,NA,A96,NA,NA,NA
Dengue (A97),no.,0,0,0,0,0,0,NA,A97,NA,NA,NA
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",no.,0,0,0,0,0,0,NA,A98,NA,NA,NA
Unspecified viral haemorrhagic fever (A99),no.,0,0,0,0,0,0,NA,A99,NA,NA,NA
Viral infections characterized by skin and mucous membrane lesions (B00-B09),no.,42,43,85,128,143,271,3.2,B00-B09,3.0476190476190474,3.3255813953488373,3.1882352941176473
Herpesviral [herpes simplex] infections (B00),no.,18,11,29,44,41,85,2.9,B00,2.4444444444444446,3.727272727272727,2.9310344827586206
Varicella [chickenpox] (B01),no.,6,3,9,14,6,20,2.2,B01,2.3333333333333335,2,2.2222222222222223
Zoster [herpes zoster] (B02),no.,16,29,45,65,96,161,3.6,B02,4.0625,3.310344827586207,3.577777777777778
Smallpox (B03),no.,0,0,0,0,0,0,NA,B03,NA,NA,NA
Monkeypox (B04),no.,0,0,0,0,0,0,NA,B04,NA,NA,NA
Measles (B05),no.,1,0,1,3,0,3,3,B05,3,NA,3
Rubella [German measles] (B06),no.,1,0,1,2,0,2,2,B06,2,NA,2
Viral warts (B07),no.,0,0,0,0,0,0,NA,B07,NA,NA,NA
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",no.,0,0,0,0,0,0,NA,B08,NA,NA,NA
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),no.,0,0,0,0,0,0,NA,B09,NA,NA,NA
Viral hepatitis  (B15-B19),no.,64,20,84,571,197,768,9.1,B15-B19,8.921875,9.85,9.142857142857142
Acute hepatitis A (B15),no.,0,1,1,4,1,5,5,B15,NA,1,5
Acute hepatitis B (B16),no.,1,0,1,9,2,11,11,B16,9,NA,11
Other acute viral hepatitis (B17),no.,0,1,1,5,2,7,7,B17,NA,2,7
Chronic viral hepatitis (B18),no.,62,18,80,549,192,741,9.3,B18,8.85483870967742,10.666666666666666,9.2625
Unspecified viral hepatitis (B19),no.,1,0,1,4,0,4,4,B19,4,NA,4
Human immunodeficiency virus [HIV] disease  (B20-B24),no.,37,5,42,164,14,178,4.2,B20-B24,4.4324324324324325,2.8,4.238095238095238
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),no.,10,2,12,10,2,12,1,B20,1,1,1
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),no.,6,1,7,6,1,7,1,B21,1,1,1
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),no.,4,2,6,5,2,7,1.2,B22,1.25,1,1.1666666666666667
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),no.,9,0,9,9,0,9,1,B23,1,NA,1
Unspecified human immunodeficiency virus [HIV] disease (B24),no.,8,0,8,134,9,143,17.9,B24,16.75,NA,17.875
Other viral diseases  (B25-B34),no.,74,106,180,326,375,701,3.9,B25-B34,4.405405405405405,3.5377358490566038,3.8944444444444444
Cytomegaloviral disease (B25),no.,2,2,4,32,14,46,11.5,B25,16,7,11.5
Mumps (B26),no.,0,0,0,0,0,0,NA,B26,NA,NA,NA
Infectious mononucleosis (B27),no.,2,1,3,11,8,19,6.3,B27,5.5,8,6.333333333333333
Viral conjunctivitis (B30),no.,0,0,0,0,0,0,NA,B30,NA,NA,NA
"Other viral diseases, not elsewhere classified (B33)",no.,3,0,3,9,2,11,3.7,B33,3,NA,3.6666666666666665
Viral infection of unspecified site (B34),no.,67,103,170,274,351,625,3.7,B34,4.08955223880597,3.407766990291262,3.676470588235294
Mycoses  (B35-B49),no.,45,24,69,322,175,497,7.2,B35-B49,7.155555555555556,7.291666666666667,7.202898550724638
Dermatophytosis (B35),no.,0,0,0,0,0,0,NA,B35,NA,NA,NA
Other superficial mycoses (B36),no.,0,0,0,0,0,0,NA,B36,NA,NA,NA
Candidiasis (B37),no.,11,4,15,68,38,106,7.1,B37,6.181818181818182,9.5,7.066666666666666
Coccidioidomycosis (B38),no.,0,0,0,0,0,0,NA,B38,NA,NA,NA
Histoplasmosis (B39),no.,0,0,0,0,1,1,NA,B39,NA,NA,NA
Blastomycosis (B40),no.,0,0,0,0,0,0,NA,B40,NA,NA,NA
Paracoccidioidomycosis (B41),no.,0,0,0,0,0,0,NA,B41,NA,NA,NA
Sporotrichosis (B42),no.,0,0,0,0,0,0,NA,B42,NA,NA,NA
Chromomycosis and phaeomycotic abscess (B43),no.,0,0,0,0,0,0,NA,B43,NA,NA,NA
Aspergillosis (B44),no.,11,6,17,58,35,93,5.5,B44,5.2727272727272725,5.833333333333333,5.470588235294118
Cryptococcosis (B45),no.,7,1,8,26,6,32,4,B45,3.7142857142857144,6,4
Zygomycosis (B46),no.,1,1,2,5,6,11,5.5,B46,5,6,5.5
Mycetoma (B47),no.,1,0,1,2,0,2,2,B47,2,NA,2
"Other mycoses, not elsewhere classified (B48)",no.,7,9,16,64,37,101,6.3,B48,9.142857142857142,4.111111111111111,6.3125
Unspecified mycosis (B49),no.,7,3,10,99,52,151,15.1,B49,14.142857142857142,17.333333333333332,15.1
Protozoal diseases  (B50-B64),no.,0,0,0,6,1,7,NA,B50-B64,NA,NA,NA
Plasmodium falciparum malaria (B50),no.,0,0,0,1,0,1,NA,B50,NA,NA,NA
Plasmodium vivax malaria (B51),no.,0,0,0,0,0,0,NA,B51,NA,NA,NA
Plasmodium malariae malaria (B52),no.,0,0,0,0,0,0,NA,B52,NA,NA,NA
Other parasitologically confirmed malaria (B53),no.,0,0,0,0,0,0,NA,B53,NA,NA,NA
Unspecified malaria (B54),no.,0,0,0,1,0,1,NA,B54,NA,NA,NA
Leishmaniasis (B55),no.,0,0,0,0,0,0,NA,B55,NA,NA,NA
African trypanosomiasis (B56),no.,0,0,0,0,0,0,NA,B56,NA,NA,NA
Chagas' disease (B57),no.,0,0,0,0,0,0,NA,B57,NA,NA,NA
Toxoplasmosis (B58),no.,0,0,0,2,1,3,NA,B58,NA,NA,NA
Pneumocystosis (B59),no.,0,0,0,0,0,0,NA,B59,NA,NA,NA
"Other protozoal diseases, not elsewhere classified (B60)",no.,0,0,0,2,0,2,NA,B60,NA,NA,NA
Unspecified protozoal disease (B64),no.,0,0,0,0,0,0,NA,B64,NA,NA,NA
Helminthiases  (B65-B83),no.,2,1,3,6,4,10,3.3,B65-B83,3,4,3.3333333333333335
Schistosomiasis [bilharziasis] (B65),no.,1,1,2,1,1,2,1,B65,1,1,1
Other fluke infections (B66),no.,0,0,0,0,0,0,NA,B66,NA,NA,NA
Echinococcosis (B67),no.,0,0,0,1,3,4,NA,B67,NA,NA,NA
Taeniasis (B68),no.,0,0,0,0,0,0,NA,B68,NA,NA,NA
Cysticercosis (B69),no.,0,0,0,1,0,1,NA,B69,NA,NA,NA
Diphyllobothriasis and sparganosis (B70),no.,0,0,0,0,0,0,NA,B70,NA,NA,NA
Other cestode infections (B71),no.,0,0,0,0,0,0,NA,B71,NA,NA,NA
Dracunculiasis (B72),no.,0,0,0,0,0,0,NA,B72,NA,NA,NA
Onchocerciasis (B73),no.,0,0,0,0,0,0,NA,B73,NA,NA,NA
Filariasis (B74),no.,0,0,0,0,0,0,NA,B74,NA,NA,NA
Trichinellosis (B75),no.,0,0,0,0,0,0,NA,B75,NA,NA,NA
Hookworm diseases (B76),no.,0,0,0,0,0,0,NA,B76,NA,NA,NA
Ascariasis (B77),no.,0,0,0,0,0,0,NA,B77,NA,NA,NA
Strongyloidiasis (B78),no.,0,0,0,2,0,2,NA,B78,NA,NA,NA
Trichuriasis (B79),no.,0,0,0,0,0,0,NA,B79,NA,NA,NA
Enterobiasis (B80),no.,0,0,0,0,0,0,NA,B80,NA,NA,NA
"Other intestinal helminthiases, not elsewhere classified (B81)",no.,0,0,0,0,0,0,NA,B81,NA,NA,NA
Unspecified intestinal parasitism (B82),no.,1,0,1,1,0,1,1,B82,1,NA,1
Other helminthiases (B83),no.,0,0,0,0,0,0,NA,B83,NA,NA,NA
"Pediculosis, acariasis and other infestations  (B85-B89)",no.,1,0,1,5,2,7,7,B85-B89,5,NA,7
Pediculosis and phthiriasis (B85),no.,0,0,0,1,0,1,NA,B85,NA,NA,NA
Scabies (B86),no.,1,0,1,4,2,6,6,B86,4,NA,6
Myiasis (B87),no.,0,0,0,0,0,0,NA,B87,NA,NA,NA
Other infestations (B88),no.,0,0,0,0,0,0,NA,B88,NA,NA,NA
Unspecified parasitic disease (B89),no.,0,0,0,0,0,0,NA,B89,NA,NA,NA
Sequelae of infectious and parasitic diseases  (B90-B94),no.,10,12,22,61,45,106,4.8,B90-B94,6.1,3.75,4.818181818181818
Sequelae of tuberculosis (B90),no.,2,3,5,12,9,21,4.2,B90,6,3,4.2
Sequelae of poliomyelitis (B91),no.,3,5,8,25,27,52,6.5,B91,8.333333333333334,5.4,6.5
Sequelae of leprosy (B92),no.,0,0,0,0,0,0,NA,B92,NA,NA,NA
Sequelae of other and unspecified infectious and parasitic diseases (B94),no.,5,4,9,24,9,33,3.7,B94,4.8,2.25,3.6666666666666665
"Bacterial,viral and other infectious agents (B95-B98)",no.,0,0,0,235,272,507,NA,B95-B98,NA,NA,NA
Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),no.,0,0,0,52,30,82,NA,B95,NA,NA,NA
Other bacterial agents as the cause of diseases classified to other chapters (B96),no.,0,0,0,48,54,102,NA,B96,NA,NA,NA
Viral agents as the cause of diseases classified to other chapters (B97),no.,0,0,0,132,181,313,NA,B97,NA,NA,NA
Other specified infectious agents as the cause of diseases classified to other chapters (B98),no.,0,0,0,3,7,10,NA,B98,NA,NA,NA
Other infectious diseases  (B99),no.,26,28,54,241,260,501,9.3,B99,9.26923076923077,9.285714285714286,9.277777777777779
Other and unspecified infectious diseases (B99),no.,26,28,54,241,260,501,9.3,B99,9.26923076923077,9.285714285714286,9.277777777777779
CHAPTER II Neoplasms (C00-D48),no.,29689,23130,52819,43852,33135,76987,1.5,C00-D48,1.4770453703391828,1.4325551232166018,1.457562619511918
Malignant neoplasms  (C00-C97),no.,28928,22478,51406,42166,31772,73938,1.4,C00-C97,1.4576189159292035,1.41347094937272,1.438314593627203
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",no.,750,319,1069,955,385,1340,1.3,C00-C14,1.2733333333333334,1.206896551724138,1.2535079513564078
Malignant neoplasm of lip (C00),no.,6,2,8,8,4,12,1.5,C00,1.3333333333333333,2,1.5
Malignant neoplasm of base of tongue (C01),no.,52,19,71,60,21,81,1.1,C01,1.1538461538461537,1.105263157894737,1.1408450704225352
Malignant neoplasm of other and unspecified parts of tongue (C02),no.,124,86,210,166,99,265,1.3,C02,1.3387096774193548,1.1511627906976745,1.2619047619047619
Malignant neoplasm of gum (C03),no.,38,36,74,50,41,91,1.2,C03,1.3157894736842106,1.1388888888888888,1.2297297297297298
Malignant neoplasm of floor of mouth (C04),no.,16,6,22,21,9,30,1.4,C04,1.3125,1.5,1.3636363636363635
Malignant neoplasm of palate (C05),no.,13,5,18,17,6,23,1.3,C05,1.3076923076923077,1.2,1.2777777777777777
Malignant neoplasm of other and unspecified parts of mouth (C06),no.,63,47,110,77,61,138,1.3,C06,1.2222222222222223,1.297872340425532,1.2545454545454546
Malignant neoplasm of parotid gland (C07),no.,67,18,85,89,21,110,1.3,C07,1.328358208955224,1.1666666666666667,1.2941176470588236
Malignant neoplasm of other and unspecified major salivary glands (C08),no.,33,6,39,36,11,47,1.2,C08,1.0909090909090908,1.8333333333333333,1.205128205128205
Malignant neoplasm of tonsil (C09),no.,87,19,106,115,27,142,1.3,C09,1.3218390804597702,1.4210526315789473,1.3396226415094339
Malignant neoplasm of oropharynx (C10),no.,116,26,142,140,27,167,1.2,C10,1.206896551724138,1.0384615384615385,1.176056338028169
Malignant neoplasm of nasopharynx (C11),no.,43,23,66,52,24,76,1.2,C11,1.2093023255813953,1.0434782608695652,1.1515151515151516
Malignant neoplasm of pyriform sinus (C12),no.,7,3,10,10,3,13,1.3,C12,1.4285714285714286,1,1.3
Malignant neoplasm of hypopharynx (C13),no.,43,14,57,49,14,63,1.1,C13,1.1395348837209303,1,1.105263157894737
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",no.,42,9,51,65,17,82,1.6,C14,1.5476190476190477,1.8888888888888888,1.607843137254902
Malignant neoplasms of digestive organs  (C15-C26),no.,8633,6402,15035,9953,7226,17179,1.1,C15-C26,1.1529016564346113,1.1287097781943143,1.142600598603259
Malignant neoplasm of oesophagus (C15),no.,1060,378,1438,1163,414,1577,1.1,C15,1.0971698113207546,1.0952380952380953,1.0966620305980528
Malignant neoplasm of stomach (C16),no.,773,429,1202,839,467,1306,1.1,C16,1.0853816300129366,1.0885780885780887,1.086522462562396
Malignant neoplasm of small intestine (C17),no.,97,79,176,108,88,196,1.1,C17,1.1134020618556701,1.1139240506329113,1.1136363636363635
Malignant neoplasm of colon (C18),no.,735,692,1427,945,853,1798,1.3,C18,1.2857142857142858,1.2326589595375723,1.2599859845830415
Malignant neoplasm of rectosigmoid junction (C19),no.,1253,959,2212,1439,1064,2503,1.1,C19,1.1484437350359138,1.1094890510948905,1.1315551537070525
Malignant neoplasm of rectum (C20),no.,426,276,702,549,341,890,1.3,C20,1.2887323943661972,1.2355072463768115,1.2678062678062678
Malignant neoplasm of anus and anal canal (C21),no.,53,75,128,66,91,157,1.2,C21,1.2452830188679245,1.2133333333333334,1.2265625
Malignant neoplasm of liver and intrahepatic bile ducts (C22),no.,1559,893,2452,1787,962,2749,1.1,C22,1.1462475946119308,1.0772676371780514,1.121125611745514
Malignant neoplasm of gallbladder (C23),no.,54,127,181,58,139,197,1.1,C23,1.0740740740740742,1.094488188976378,1.0883977900552486
Malignant neoplasm of other and unspecified parts of biliary tract (C24),no.,84,71,155,108,91,199,1.3,C24,1.2857142857142858,1.2816901408450705,1.2838709677419355
Malignant neoplasm of pancreas (C25),no.,2012,1861,3873,2126,1943,4069,1.1,C25,1.0566600397614314,1.044062332079527,1.050606764781823
Malignant neoplasm of other and ill-defined digestive organs (C26),no.,527,562,1089,765,773,1538,1.4,C26,1.4516129032258065,1.3754448398576513,1.4123048668503213
Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),no.,5499,3938,9437,6306,4471,10777,1.1,C30-C39,1.1467539552645936,1.1353478923311326,1.1419942778425347
Malignant neoplasm of nasal cavity and middle ear (C30),no.,5,3,8,7,4,11,1.4,C30,1.4,1.3333333333333333,1.375
Malignant neoplasm of accessory sinuses (C31),no.,31,16,47,32,17,49,1,C31,1.032258064516129,1.0625,1.0425531914893618
Malignant neoplasm of larynx (C32),no.,183,17,200,261,23,284,1.4,C32,1.4262295081967213,1.3529411764705883,1.42
Malignant neoplasm of trachea (C33),no.,5,1,6,6,1,7,1.2,C33,1.2,1,1.1666666666666667
Malignant neoplasm of bronchus and lung (C34),no.,5239,3874,9113,5957,4398,10355,1.1,C34,1.137049055163199,1.1352607124419205,1.1362888181718425
Malignant neoplasm of thymus (C37),no.,16,17,33,19,17,36,1.1,C37,1.1875,1,1.0909090909090908
"Malignant neoplasm of heart, mediastinum and pleura (C38)",no.,17,10,27,21,11,32,1.2,C38,1.2352941176470589,1.1,1.1851851851851851
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),no.,3,0,3,3,0,3,1,C39,1,NA,1
Malignant neoplasms of bone and articular cartilage  (C40-C41),no.,62,43,105,72,46,118,1.1,C40-C41,1.1612903225806452,1.069767441860465,1.1238095238095238
Malignant neoplasm of bone and articular cartilage of limbs (C40),no.,4,1,5,6,1,7,1.4,C40,1.5,1,1.4
Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),no.,58,42,100,66,45,111,1.1,C41,1.1379310344827587,1.0714285714285714,1.11
Melanoma and other malignant neoplasms of skin  (C43-C44),no.,1544,757,2301,2268,1077,3345,1.5,C43-C44,1.4689119170984455,1.4227212681638044,1.4537157757496741
Malignant melanoma of skin (C43),no.,969,514,1483,1314,669,1983,1.3,C43,1.3560371517027863,1.301556420233463,1.337154416722859
Other malignant neoplasms of skin (C44),no.,575,243,818,954,408,1362,1.7,C44,1.6591304347826088,1.6790123456790123,1.6650366748166259
Malignant neoplasms of mesothelial and soft tissue  (C45-C49),no.,749,364,1113,837,407,1244,1.1,C45-C49,1.1174899866488652,1.1181318681318682,1.1176999101527403
Mesothelioma (C45),no.,513,151,664,553,163,716,1.1,C45,1.077972709551657,1.0794701986754967,1.0783132530120483
Kaposi sarcoma (C46),no.,3,0,3,5,0,5,1.7,C46,1.6666666666666667,NA,1.6666666666666667
Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),no.,7,5,12,7,6,13,1.1,C47,1,1.2,1.0833333333333333
Malignant neoplasm of retroperitoneum and peritoneum (C48),no.,23,62,85,28,66,94,1.1,C48,1.2173913043478262,1.064516129032258,1.1058823529411765
Malignant neoplasm of other connective and soft tissue (C49),no.,203,146,349,244,172,416,1.2,C49,1.2019704433497538,1.178082191780822,1.191977077363897
Malignant neoplasm of breast  (C50),no.,25,3178,3203,48,4424,4472,1.4,C50,1.92,1.3920704845814977,1.3961910708710583
Malignant neoplasm of breast (C50),no.,25,3178,3203,48,4424,4472,1.4,C50,1.92,1.3920704845814977,1.3961910708710583
Malignant neoplasms of female genital organs  (C51-C58),no.,0,2238,2238,0,2538,2538,1.1,C51-C58,NA,1.1340482573726542,1.1340482573726542
Malignant neoplasm of vulva (C51),no.,0,116,116,0,136,136,1.2,C51,NA,1.1724137931034482,1.1724137931034482
Malignant neoplasm of vagina (C52),no.,0,32,32,0,36,36,1.1,C52,NA,1.125,1.125
Malignant neoplasm of cervix uteri (C53),no.,0,248,248,0,287,287,1.2,C53,NA,1.157258064516129,1.157258064516129
Malignant neoplasm of corpus uteri (C54),no.,0,505,505,0,591,591,1.2,C54,NA,1.1702970297029702,1.1702970297029702
"Malignant neoplasm of uterus, part unspecified (C55)",no.,0,191,191,0,230,230,1.2,C55,NA,1.2041884816753927,1.2041884816753927
