cause_icd10,n_male,n_female,n_persons,crude_rate_male,crude_rate_female,crude_rate_persons,asr_male,asr_female,asr_persons,ypll_male,ypll_female,ypll_persons,state,state_abbr,year,icd10_code,cause_name,is_chapter,is_total
Other protozoal intestinal diseases (A07),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A07,Other protozoal intestinal diseases,FALSE,FALSE
Viral and other specified intestinal infections (A08),12,16,28,0.1,0.1,0.1,NA,NA,0.1,64,73,137,Australia,AUS,2024,A08,Viral and other specified intestinal infections,FALSE,FALSE
Other gastroenteritis and colitis of infectious and unspecified origin (A09),102,181,283,0.8,1.3,1,0.6,0.8,0.7,374,383,762,Australia,AUS,2024,A09,Other gastroenteritis and colitis of infectious and unspecified origin,FALSE,FALSE
Tuberculosis  (A15-A19),34,13,47,0.3,0.1,0.2,0.2,NA,0.1,369,142,506,Australia,AUS,2024,A15-A19,Tuberculosis,FALSE,FALSE
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",FALSE,FALSE
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",28,10,38,0.2,0.1,0.1,0.2,NA,0.1,270,91,358,Australia,AUS,2024,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",FALSE,FALSE
Tuberculosis of nervous system (A17),2,0,2,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A17,Tuberculosis of nervous system,FALSE,FALSE
Tuberculosis of other organs (A18),1,0,1,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A18,Tuberculosis of other organs,FALSE,FALSE
Miliary tuberculosis (A19),3,2,5,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A19,Miliary tuberculosis,FALSE,FALSE
Certain zoonotic bacterial diseases  (A20-A28),6,4,10,NA,NA,NA,NA,NA,NA,np,np,191,Australia,AUS,2024,A20-A28,Certain zoonotic bacterial diseases,FALSE,FALSE
Plague (A20),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A20,Plague,FALSE,FALSE
Tularaemia (A21),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A21,Tularaemia,FALSE,FALSE
Anthrax (A22),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A22,Anthrax,FALSE,FALSE
Brucellosis (A23),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A23,Brucellosis,FALSE,FALSE
Glanders and melioidosis (A24),5,4,9,NA,NA,NA,NA,NA,NA,np,np,191,Australia,AUS,2024,A24,Glanders and melioidosis,FALSE,FALSE
Rat-bite fevers (A25),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A25,Rat-bite fevers,FALSE,FALSE
Erysipeloid (A26),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A26,Erysipeloid,FALSE,FALSE
Leptospirosis (A27),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A27,Leptospirosis,FALSE,FALSE
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A28,"Other zoonotic bacterial diseases, not elsewhere classified",FALSE,FALSE
Other bacterial diseases  (A30-A49),980,1022,2002,7.3,7.5,7.4,5.8,4.7,5.2,3348,2419,5759,Australia,AUS,2024,A30-A49,Other bacterial diseases,FALSE,FALSE
Leprosy [Hansen's disease] (A30),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A30,Leprosy [Hansen's disease],FALSE,FALSE
Infection due to other mycobacteria (A31),12,12,24,0.1,0.1,0.1,NA,NA,0.1,22,np,39,Australia,AUS,2024,A31,Infection due to other mycobacteria,FALSE,FALSE
Listeriosis (A32),1,2,3,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A32,Listeriosis,FALSE,FALSE
Tetanus neonatorum (A33),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A33,Tetanus neonatorum,FALSE,FALSE
Obstetrical tetanus (A34),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A34,Obstetrical tetanus,FALSE,FALSE
Other tetanus (A35),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A35,Other tetanus,FALSE,FALSE
Diphtheria (A36),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A36,Diphtheria,FALSE,FALSE
Whooping cough (A37),2,3,5,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,A37,Whooping cough,FALSE,FALSE
Scarlet fever (A38),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A38,Scarlet fever,FALSE,FALSE
Meningococcal infection (A39),2,4,6,NA,NA,NA,NA,NA,NA,np,np,138,Australia,AUS,2024,A39,Meningococcal infection,FALSE,FALSE
Streptococcal sepsis (A40),30,16,46,0.2,0.1,0.2,0.2,NA,0.1,295,248,538,Australia,AUS,2024,A40,Streptococcal sepsis,FALSE,FALSE
Other sepsis (A41),747,871,1618,5.5,6.4,5.9,4.4,3.9,4.2,2050,1593,3641,Australia,AUS,2024,A41,Other sepsis,FALSE,FALSE
Actinomycosis (A42),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A42,Actinomycosis,FALSE,FALSE
Nocardiosis (A43),4,1,5,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A43,Nocardiosis,FALSE,FALSE
Bartonellosis (A44),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A44,Bartonellosis,FALSE,FALSE
Erysipelas (A46),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A46,Erysipelas,FALSE,FALSE
"Other bacterial diseases, not elsewhere classified (A48)",15,3,18,0.1,NA,0.1,NA,NA,NA,62,np,65,Australia,AUS,2024,A48,"Other bacterial diseases, not elsewhere classified",FALSE,FALSE
Bacterial infection of unspecified site (A49),167,109,276,1.2,0.8,1,1,0.5,0.7,785,435,1220,Australia,AUS,2024,A49,Bacterial infection of unspecified site,FALSE,FALSE
Infections with a predominantly sexual mode of transmission  (A50-A64),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A50-A64,Infections with a predominantly sexual mode of transmission,FALSE,FALSE
Congenital syphilis (A50),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A50,Congenital syphilis,FALSE,FALSE
Early syphilis (A51),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A51,Early syphilis,FALSE,FALSE
Late syphilis (A52),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A52,Late syphilis,FALSE,FALSE
Other and unspecified syphilis (A53),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A53,Other and unspecified syphilis,FALSE,FALSE
Gonococcal infection (A54),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A54,Gonococcal infection,FALSE,FALSE
Chlamydial lymphogranuloma (venereum) (A55),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A55,Chlamydial lymphogranuloma,FALSE,FALSE
Other sexually transmitted chlamydial diseases (A56),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A56,Other sexually transmitted chlamydial diseases,FALSE,FALSE
Chancroid (A57),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A57,Chancroid,FALSE,FALSE
Granuloma inguinale (A58),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A58,Granuloma inguinale,FALSE,FALSE
Trichomoniasis (A59),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A59,Trichomoniasis,FALSE,FALSE
Anogenital herpesviral [herpes simplex] infection (A60),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A60,Anogenital herpesviral [herpes simplex] infection,FALSE,FALSE
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",FALSE,FALSE
Unspecified sexually transmitted disease (A64),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A64,Unspecified sexually transmitted disease,FALSE,FALSE
Other spirochaetal diseases  (A65-A69),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A65-A69,Other spirochaetal diseases,FALSE,FALSE
Nonvenereal syphilis (A65),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A65,Nonvenereal syphilis,FALSE,FALSE
Yaws (A66),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A66,Yaws,FALSE,FALSE
Pinta [carate] (A67),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A67,Pinta [carate],FALSE,FALSE
Relapsing fevers (A68),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A68,Relapsing fevers,FALSE,FALSE
Other spirochaetal infections (A69),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A69,Other spirochaetal infections,FALSE,FALSE
Other diseases caused by chlamydiae  (A70-A74),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A70-A74,Other diseases caused by chlamydiae,FALSE,FALSE
Chlamydia psittaci infection (A70),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A70,Chlamydia psittaci infection,FALSE,FALSE
Trachoma (A71),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A71,Trachoma,FALSE,FALSE
Other diseases caused by chlamydiae (A74),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A74,Other diseases caused by chlamydiae,FALSE,FALSE
Rickettsioses  (A75-A79),0,2,2,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A75-A79,Rickettsioses,FALSE,FALSE
Typhus fever (A75),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A75,Typhus fever,FALSE,FALSE
Spotted fever [tick-borne rickettsioses] (A77),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A77,Spotted fever [tick-borne rickettsioses],FALSE,FALSE
Q fever (A78),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,A78,Q fever,FALSE,FALSE
Other rickettsioses (A79),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A79,Other rickettsioses,FALSE,FALSE
Viral infections of the central nervous system  (A80-A89),52,40,92,0.4,0.3,0.3,0.3,0.2,0.3,466,347,813,Australia,AUS,2024,A80-A89,Viral infections of the central nervous system,FALSE,FALSE
Acute poliomyelitis (A80),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A80,Acute poliomyelitis,FALSE,FALSE
Slow virus infections of central nervous system (A81),39,34,73,0.3,0.2,0.3,0.2,0.2,0.2,356,344,699,Australia,AUS,2024,A81,Slow virus infections of central nervous system,FALSE,FALSE
Rabies (A82),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A82,Rabies,FALSE,FALSE
Mosquito-borne viral encephalitis (A83),2,0,2,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A83,Mosquito-borne viral encephalitis,FALSE,FALSE
Tick-borne viral encephalitis (A84),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A84,Tick-borne viral encephalitis,FALSE,FALSE
"Other viral encephalitis, not elsewhere classified (A85)",1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A85,"Other viral encephalitis, not elsewhere classified",FALSE,FALSE
Unspecified viral encephalitis (A86),9,6,15,0.1,NA,0.1,NA,NA,NA,94,np,99,Australia,AUS,2024,A86,Unspecified viral encephalitis,FALSE,FALSE
Viral meningitis (A87),1,0,1,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,A87,Viral meningitis,FALSE,FALSE
"Other viral infections of central nervous system, not elsewhere classified (A88)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A88,"Other viral infections of central nervous system, not elsewhere classified",FALSE,FALSE
Unspecified viral infection of central nervous system (A89),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A89,Unspecified viral infection of central nervous system,FALSE,FALSE
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A90-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,FALSE,FALSE
Dengue fever [classical dengue] (A90),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A90,Dengue fever [classical dengue],FALSE,FALSE
Dengue haemorrhagic fever (A91),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A91,Dengue haemorrhagic fever,FALSE,FALSE
Other mosquito-borne viral fevers (A92),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A92,Other mosquito-borne viral fevers,FALSE,FALSE
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A93,"Other arthropod-borne viral fevers, not elsewhere classified",FALSE,FALSE
Unspecified arthropod-borne viral fever (A94),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A94,Unspecified arthropod-borne viral fever,FALSE,FALSE
Yellow fever (A95),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A95,Yellow fever,FALSE,FALSE
Arenaviral haemorrhagic fever (A96),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A96,Arenaviral haemorrhagic fever,FALSE,FALSE
Dengue (A97),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A97,Dengue,FALSE,FALSE
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A98,"Other viral haemorrhagic fevers, not elsewhere classified",FALSE,FALSE
Unspecified viral haemorrhagic fever (A99),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,A99,Unspecified viral haemorrhagic fever,FALSE,FALSE
Viral infections characterized by skin and mucous membrane lesions (B00-B09),42,43,85,0.3,0.3,0.3,0.2,0.2,0.2,133,np,147,Australia,AUS,2024,B00-B09,Viral infections characterized by skin and mucous membrane lesions,FALSE,FALSE
Herpesviral [herpes simplex] infections (B00),18,11,29,0.1,0.1,0.1,NA,NA,0.1,53,np,60,Australia,AUS,2024,B00,Herpesviral [herpes simplex] infections,FALSE,FALSE
Varicella [chickenpox] (B01),6,3,9,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,B01,Varicella [chickenpox],FALSE,FALSE
Zoster [herpes zoster] (B02),16,29,45,0.1,0.2,0.2,NA,0.1,0.1,np,np,np,Australia,AUS,2024,B02,Zoster [herpes zoster],FALSE,FALSE
Smallpox (B03),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B03,Smallpox,FALSE,FALSE
Monkeypox (B04),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B04,Monkeypox,FALSE,FALSE
Measles (B05),1,0,1,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,B05,Measles,FALSE,FALSE
Rubella [German measles] (B06),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B06,Rubella [German measles],FALSE,FALSE
Viral warts (B07),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B07,Viral warts,FALSE,FALSE
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",FALSE,FALSE
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,FALSE,FALSE
Viral hepatitis  (B15-B19),64,20,84,0.5,0.1,0.3,0.4,0.1,0.3,770,251,1009,Australia,AUS,2024,B15-B19,Viral hepatitis,FALSE,FALSE
Acute hepatitis A (B15),0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B15,Acute hepatitis A,FALSE,FALSE
Acute hepatitis B (B16),1,0,1,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,B16,Acute hepatitis B,FALSE,FALSE
Other acute viral hepatitis (B17),0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B17,Other acute viral hepatitis,FALSE,FALSE
Chronic viral hepatitis (B18),62,18,80,0.5,0.1,0.3,0.4,NA,0.2,730,251,969,Australia,AUS,2024,B18,Chronic viral hepatitis,FALSE,FALSE
Unspecified viral hepatitis (B19),1,0,1,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,B19,Unspecified viral hepatitis,FALSE,FALSE
Human immunodeficiency virus [HIV] disease  (B20-B24),37,5,42,0.3,NA,0.2,0.2,NA,0.1,703,np,823,Australia,AUS,2024,B20-B24,Human immunodeficiency virus [HIV] disease,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),10,2,12,0.1,NA,NA,NA,NA,NA,162,np,186,Australia,AUS,2024,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),6,1,7,NA,NA,NA,NA,NA,NA,122,np,123,Australia,AUS,2024,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),4,2,6,NA,NA,NA,NA,NA,NA,np,np,156,Australia,AUS,2024,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),9,0,9,0.1,NA,NA,NA,NA,NA,157,—,155,Australia,AUS,2024,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,FALSE,FALSE
Unspecified human immunodeficiency virus [HIV] disease (B24),8,0,8,0.1,NA,NA,NA,NA,NA,205,—,204,Australia,AUS,2024,B24,Unspecified human immunodeficiency virus [HIV] disease,FALSE,FALSE
Other viral diseases  (B25-B34),74,106,180,0.5,0.8,0.7,0.4,0.5,0.5,264,398,659,Australia,AUS,2024,B25-B34,Other viral diseases,FALSE,FALSE
Cytomegaloviral disease (B25),2,2,4,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,B25,Cytomegaloviral disease,FALSE,FALSE
Mumps (B26),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B26,Mumps,FALSE,FALSE
Infectious mononucleosis (B27),2,1,3,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,B27,Infectious mononucleosis,FALSE,FALSE
Viral conjunctivitis (B30),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B30,Viral conjunctivitis,FALSE,FALSE
"Other viral diseases, not elsewhere classified (B33)",3,0,3,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,B33,"Other viral diseases, not elsewhere classified",FALSE,FALSE
Viral infection of unspecified site (B34),67,103,170,0.5,0.8,0.6,0.4,0.5,0.4,157,303,462,Australia,AUS,2024,B34,Viral infection of unspecified site,FALSE,FALSE
Mycoses  (B35-B49),45,24,69,0.3,0.2,0.3,0.3,0.1,0.2,300,115,412,Australia,AUS,2024,B35-B49,Mycoses,FALSE,FALSE
Dermatophytosis (B35),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B35,Dermatophytosis,FALSE,FALSE
Other superficial mycoses (B36),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B36,Other superficial mycoses,FALSE,FALSE
Candidiasis (B37),11,4,15,0.1,NA,0.1,NA,NA,NA,np,—,np,Australia,AUS,2024,B37,Candidiasis,FALSE,FALSE
Coccidioidomycosis (B38),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B38,Coccidioidomycosis,FALSE,FALSE
Histoplasmosis (B39),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B39,Histoplasmosis,FALSE,FALSE
Blastomycosis (B40),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B40,Blastomycosis,FALSE,FALSE
Paracoccidioidomycosis (B41),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B41,Paracoccidioidomycosis,FALSE,FALSE
Sporotrichosis (B42),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B42,Sporotrichosis,FALSE,FALSE
Chromomycosis and phaeomycotic abscess (B43),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B43,Chromomycosis and phaeomycotic abscess,FALSE,FALSE
Aspergillosis (B44),11,6,17,0.1,NA,0.1,NA,NA,NA,70,np,90,Australia,AUS,2024,B44,Aspergillosis,FALSE,FALSE
Cryptococcosis (B45),7,1,8,0.1,NA,NA,NA,NA,NA,81,np,84,Australia,AUS,2024,B45,Cryptococcosis,FALSE,FALSE
Zygomycosis (B46),1,1,2,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,B46,Zygomycosis,FALSE,FALSE
Mycetoma (B47),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B47,Mycetoma,FALSE,FALSE
"Other mycoses, not elsewhere classified (B48)",7,9,16,0.1,0.1,0.1,NA,NA,NA,68,41,109,Australia,AUS,2024,B48,"Other mycoses, not elsewhere classified",FALSE,FALSE
Unspecified mycosis (B49),7,3,10,0.1,NA,NA,NA,NA,NA,np,np,44,Australia,AUS,2024,B49,Unspecified mycosis,FALSE,FALSE
Protozoal diseases  (B50-B64),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B50-B64,Protozoal diseases,FALSE,FALSE
Plasmodium falciparum malaria (B50),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B50,Plasmodium falciparum malaria,FALSE,FALSE
Plasmodium vivax malaria (B51),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B51,Plasmodium vivax malaria,FALSE,FALSE
Plasmodium malariae malaria (B52),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B52,Plasmodium malariae malaria,FALSE,FALSE
Other parasitologically confirmed malaria (B53),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B53,Other parasitologically confirmed malaria,FALSE,FALSE
Unspecified malaria (B54),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B54,Unspecified malaria,FALSE,FALSE
Leishmaniasis (B55),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B55,Leishmaniasis,FALSE,FALSE
African trypanosomiasis (B56),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B56,African trypanosomiasis,FALSE,FALSE
Chagas' disease (B57),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B57,Chagas' disease,FALSE,FALSE
Toxoplasmosis (B58),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B58,Toxoplasmosis,FALSE,FALSE
Pneumocystosis (B59),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B59,Pneumocystosis,FALSE,FALSE
"Other protozoal diseases, not elsewhere classified (B60)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B60,"Other protozoal diseases, not elsewhere classified",FALSE,FALSE
Unspecified protozoal disease (B64),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B64,Unspecified protozoal disease,FALSE,FALSE
Helminthiases  (B65-B83),2,1,3,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,B65-B83,Helminthiases,FALSE,FALSE
Schistosomiasis [bilharziasis] (B65),1,1,2,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,B65,Schistosomiasis [bilharziasis],FALSE,FALSE
Other fluke infections (B66),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B66,Other fluke infections,FALSE,FALSE
Echinococcosis (B67),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B67,Echinococcosis,FALSE,FALSE
Taeniasis (B68),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,B68,Taeniasis,FALSE,FALSE
