cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Chronic viral hepatitis (B18),no.,62,18,80,549,192,741,9.3000000000000007,B18,Chronic viral hepatitis,FALSE,FALSE,9.2625,8.85483870967742,10.666666666666666
Unspecified viral hepatitis (B19),no.,1,0,1,4,0,4,4,B19,Unspecified viral hepatitis,FALSE,FALSE,4,4,NA
Human immunodeficiency virus [HIV] disease  (B20-B24),no.,37,5,42,164,14,178,4.2,B20-B24,Human immunodeficiency virus [HIV] disease,FALSE,FALSE,4.238095238095238,4.4324324324324325,2.8
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),no.,10,2,12,10,2,12,1,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,FALSE,FALSE,1,1,1
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),no.,6,1,7,6,1,7,1,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,FALSE,FALSE,1,1,1
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),no.,4,2,6,5,2,7,1.2,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,FALSE,FALSE,1.1666666666666667,1.25,1
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),no.,9,0,9,9,0,9,1,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,FALSE,FALSE,1,1,NA
Unspecified human immunodeficiency virus [HIV] disease (B24),no.,8,0,8,134,9,143,17.899999999999999,B24,Unspecified human immunodeficiency virus [HIV] disease,FALSE,FALSE,17.875,16.75,NA
Other viral diseases  (B25-B34),no.,74,106,180,326,375,701,3.9,B25-B34,Other viral diseases,FALSE,FALSE,3.8944444444444444,4.405405405405405,3.5377358490566038
Cytomegaloviral disease (B25),no.,2,2,4,32,14,46,11.5,B25,Cytomegaloviral disease,FALSE,FALSE,11.5,16,7
Mumps (B26),no.,0,0,0,0,0,0,—,B26,Mumps,FALSE,FALSE,NA,NA,NA
Infectious mononucleosis (B27),no.,2,1,3,11,8,19,6.3,B27,Infectious mononucleosis,FALSE,FALSE,6.333333333333333,5.5,8
Viral conjunctivitis (B30),no.,0,0,0,0,0,0,—,B30,Viral conjunctivitis,FALSE,FALSE,NA,NA,NA
"Other viral diseases, not elsewhere classified (B33)",no.,3,0,3,9,2,11,3.7,B33,"Other viral diseases, not elsewhere classified",FALSE,FALSE,3.6666666666666665,3,NA
Viral infection of unspecified site (B34),no.,67,103,170,274,351,625,3.7,B34,Viral infection of unspecified site,FALSE,FALSE,3.676470588235294,4.08955223880597,3.407766990291262
Mycoses  (B35-B49),no.,45,24,69,322,175,497,7.2,B35-B49,Mycoses,FALSE,FALSE,7.202898550724638,7.155555555555556,7.291666666666667
Dermatophytosis (B35),no.,0,0,0,0,0,0,—,B35,Dermatophytosis,FALSE,FALSE,NA,NA,NA
Other superficial mycoses (B36),no.,0,0,0,0,0,0,—,B36,Other superficial mycoses,FALSE,FALSE,NA,NA,NA
Candidiasis (B37),no.,11,4,15,68,38,106,7.1,B37,Candidiasis,FALSE,FALSE,7.066666666666666,6.181818181818182,9.5
Coccidioidomycosis (B38),no.,0,0,0,0,0,0,—,B38,Coccidioidomycosis,FALSE,FALSE,NA,NA,NA
Histoplasmosis (B39),no.,0,0,0,0,1,1,—,B39,Histoplasmosis,FALSE,FALSE,NA,NA,NA
Blastomycosis (B40),no.,0,0,0,0,0,0,—,B40,Blastomycosis,FALSE,FALSE,NA,NA,NA
Paracoccidioidomycosis (B41),no.,0,0,0,0,0,0,—,B41,Paracoccidioidomycosis,FALSE,FALSE,NA,NA,NA
Sporotrichosis (B42),no.,0,0,0,0,0,0,—,B42,Sporotrichosis,FALSE,FALSE,NA,NA,NA
Chromomycosis and phaeomycotic abscess (B43),no.,0,0,0,0,0,0,—,B43,Chromomycosis and phaeomycotic abscess,FALSE,FALSE,NA,NA,NA
Aspergillosis (B44),no.,11,6,17,58,35,93,5.5,B44,Aspergillosis,FALSE,FALSE,5.470588235294118,5.2727272727272725,5.833333333333333
Cryptococcosis (B45),no.,7,1,8,26,6,32,4,B45,Cryptococcosis,FALSE,FALSE,4,3.7142857142857144,6
Zygomycosis (B46),no.,1,1,2,5,6,11,5.5,B46,Zygomycosis,FALSE,FALSE,5.5,5,6
Mycetoma (B47),no.,1,0,1,2,0,2,2,B47,Mycetoma,FALSE,FALSE,2,2,NA
"Other mycoses, not elsewhere classified (B48)",no.,7,9,16,64,37,101,6.3,B48,"Other mycoses, not elsewhere classified",FALSE,FALSE,6.3125,9.142857142857142,4.111111111111111
Unspecified mycosis (B49),no.,7,3,10,99,52,151,15.1,B49,Unspecified mycosis,FALSE,FALSE,15.1,14.142857142857142,17.333333333333332
Protozoal diseases  (B50-B64),no.,0,0,0,6,1,7,—,B50-B64,Protozoal diseases,FALSE,FALSE,NA,NA,NA
Plasmodium falciparum malaria (B50),no.,0,0,0,1,0,1,—,B50,Plasmodium falciparum malaria,FALSE,FALSE,NA,NA,NA
Plasmodium vivax malaria (B51),no.,0,0,0,0,0,0,—,B51,Plasmodium vivax malaria,FALSE,FALSE,NA,NA,NA
Plasmodium malariae malaria (B52),no.,0,0,0,0,0,0,—,B52,Plasmodium malariae malaria,FALSE,FALSE,NA,NA,NA
Other parasitologically confirmed malaria (B53),no.,0,0,0,0,0,0,—,B53,Other parasitologically confirmed malaria,FALSE,FALSE,NA,NA,NA
Unspecified malaria (B54),no.,0,0,0,1,0,1,—,B54,Unspecified malaria,FALSE,FALSE,NA,NA,NA
Leishmaniasis (B55),no.,0,0,0,0,0,0,—,B55,Leishmaniasis,FALSE,FALSE,NA,NA,NA
African trypanosomiasis (B56),no.,0,0,0,0,0,0,—,B56,African trypanosomiasis,FALSE,FALSE,NA,NA,NA
Chagas' disease (B57),no.,0,0,0,0,0,0,—,B57,Chagas' disease,FALSE,FALSE,NA,NA,NA
Toxoplasmosis (B58),no.,0,0,0,2,1,3,—,B58,Toxoplasmosis,FALSE,FALSE,NA,NA,NA
Pneumocystosis (B59),no.,0,0,0,0,0,0,—,B59,Pneumocystosis,FALSE,FALSE,NA,NA,NA
"Other protozoal diseases, not elsewhere classified (B60)",no.,0,0,0,2,0,2,—,B60,"Other protozoal diseases, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified protozoal disease (B64),no.,0,0,0,0,0,0,—,B64,Unspecified protozoal disease,FALSE,FALSE,NA,NA,NA
Helminthiases  (B65-B83),no.,2,1,3,6,4,10,3.3,B65-B83,Helminthiases,FALSE,FALSE,3.3333333333333335,3,4
Schistosomiasis [bilharziasis] (B65),no.,1,1,2,1,1,2,1,B65,Schistosomiasis [bilharziasis],FALSE,FALSE,1,1,1
Other fluke infections (B66),no.,0,0,0,0,0,0,—,B66,Other fluke infections,FALSE,FALSE,NA,NA,NA
Echinococcosis (B67),no.,0,0,0,1,3,4,—,B67,Echinococcosis,FALSE,FALSE,NA,NA,NA
Taeniasis (B68),no.,0,0,0,0,0,0,—,B68,Taeniasis,FALSE,FALSE,NA,NA,NA
Cysticercosis (B69),no.,0,0,0,1,0,1,—,B69,Cysticercosis,FALSE,FALSE,NA,NA,NA
Diphyllobothriasis and sparganosis (B70),no.,0,0,0,0,0,0,—,B70,Diphyllobothriasis and sparganosis,FALSE,FALSE,NA,NA,NA
Other cestode infections (B71),no.,0,0,0,0,0,0,—,B71,Other cestode infections,FALSE,FALSE,NA,NA,NA
Dracunculiasis (B72),no.,0,0,0,0,0,0,—,B72,Dracunculiasis,FALSE,FALSE,NA,NA,NA
Onchocerciasis (B73),no.,0,0,0,0,0,0,—,B73,Onchocerciasis,FALSE,FALSE,NA,NA,NA
Filariasis (B74),no.,0,0,0,0,0,0,—,B74,Filariasis,FALSE,FALSE,NA,NA,NA
Trichinellosis (B75),no.,0,0,0,0,0,0,—,B75,Trichinellosis,FALSE,FALSE,NA,NA,NA
Hookworm diseases (B76),no.,0,0,0,0,0,0,—,B76,Hookworm diseases,FALSE,FALSE,NA,NA,NA
Ascariasis (B77),no.,0,0,0,0,0,0,—,B77,Ascariasis,FALSE,FALSE,NA,NA,NA
Strongyloidiasis (B78),no.,0,0,0,2,0,2,—,B78,Strongyloidiasis,FALSE,FALSE,NA,NA,NA
Trichuriasis (B79),no.,0,0,0,0,0,0,—,B79,Trichuriasis,FALSE,FALSE,NA,NA,NA
Enterobiasis (B80),no.,0,0,0,0,0,0,—,B80,Enterobiasis,FALSE,FALSE,NA,NA,NA
"Other intestinal helminthiases, not elsewhere classified (B81)",no.,0,0,0,0,0,0,—,B81,"Other intestinal helminthiases, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Unspecified intestinal parasitism (B82),no.,1,0,1,1,0,1,1,B82,Unspecified intestinal parasitism,FALSE,FALSE,1,1,NA
Other helminthiases (B83),no.,0,0,0,0,0,0,—,B83,Other helminthiases,FALSE,FALSE,NA,NA,NA
"Pediculosis, acariasis and other infestations  (B85-B89)",no.,1,0,1,5,2,7,7,B85-B89,"Pediculosis, acariasis and other infestations",FALSE,FALSE,7,5,NA
Pediculosis and phthiriasis (B85),no.,0,0,0,1,0,1,—,B85,Pediculosis and phthiriasis,FALSE,FALSE,NA,NA,NA
Scabies (B86),no.,1,0,1,4,2,6,6,B86,Scabies,FALSE,FALSE,6,4,NA
Myiasis (B87),no.,0,0,0,0,0,0,—,B87,Myiasis,FALSE,FALSE,NA,NA,NA
Other infestations (B88),no.,0,0,0,0,0,0,—,B88,Other infestations,FALSE,FALSE,NA,NA,NA
Unspecified parasitic disease (B89),no.,0,0,0,0,0,0,—,B89,Unspecified parasitic disease,FALSE,FALSE,NA,NA,NA
Sequelae of infectious and parasitic diseases  (B90-B94),no.,10,12,22,61,45,106,4.8,B90-B94,Sequelae of infectious and parasitic diseases,FALSE,FALSE,4.818181818181818,6.1,3.75
Sequelae of tuberculosis (B90),no.,2,3,5,12,9,21,4.2,B90,Sequelae of tuberculosis,FALSE,FALSE,4.2,6,3
Sequelae of poliomyelitis (B91),no.,3,5,8,25,27,52,6.5,B91,Sequelae of poliomyelitis,FALSE,FALSE,6.5,8.333333333333334,5.4
Sequelae of leprosy (B92),no.,0,0,0,0,0,0,—,B92,Sequelae of leprosy,FALSE,FALSE,NA,NA,NA
Sequelae of other and unspecified infectious and parasitic diseases (B94),no.,5,4,9,24,9,33,3.7,B94,Sequelae of other and unspecified infectious and parasitic diseases,FALSE,FALSE,3.6666666666666665,4.8,2.25
"Bacterial,viral and other infectious agents (B95-B98)",no.,0,0,0,235,272,507,—,B95-B98,"Bacterial,viral and other infectious agents",FALSE,FALSE,NA,NA,NA
Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),no.,0,0,0,52,30,82,—,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,FALSE,FALSE,NA,NA,NA
Other bacterial agents as the cause of diseases classified to other chapters (B96),no.,0,0,0,48,54,102,—,B96,Other bacterial agents as the cause of diseases classified to other chapters,FALSE,FALSE,NA,NA,NA
Viral agents as the cause of diseases classified to other chapters (B97),no.,0,0,0,132,181,313,—,B97,Viral agents as the cause of diseases classified to other chapters,FALSE,FALSE,NA,NA,NA
