cause_icd10,unit,mc_count_male,mc_count_female,mc_count_persons,mc_asr_male,mc_asr_female,mc_asr_persons,icd10_code,cause_name,is_chapter,is_total
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",no.,1,2,3,NA,NA,NA,A28,"Other zoonotic bacterial diseases, not elsewhere classified",FALSE,FALSE
Other bacterial diseases  (A30-A49),no.,8143,7225,15368,48.5,34.4,40.8,A30-A49,Other bacterial diseases,FALSE,FALSE
Leprosy [Hansen's disease] (A30),no.,1,0,1,NA,NA,NA,A30,Leprosy [Hansen's disease],FALSE,FALSE
Infection due to other mycobacteria (A31),no.,43,31,74,0.3,0.1,0.2,A31,Infection due to other mycobacteria,FALSE,FALSE
Listeriosis (A32),no.,3,4,7,NA,NA,NA,A32,Listeriosis,FALSE,FALSE
Tetanus neonatorum (A33),no.,0,0,0,NA,NA,NA,A33,Tetanus neonatorum,FALSE,FALSE
Obstetrical tetanus (A34),no.,0,0,0,NA,NA,NA,A34,Obstetrical tetanus,FALSE,FALSE
Other tetanus (A35),no.,0,0,0,NA,NA,NA,A35,Other tetanus,FALSE,FALSE
Diphtheria (A36),no.,0,0,0,NA,NA,NA,A36,Diphtheria,FALSE,FALSE
Whooping cough (A37),no.,4,5,9,NA,NA,NA,A37,Whooping cough,FALSE,FALSE
Scarlet fever (A38),no.,0,0,0,NA,NA,NA,A38,Scarlet fever,FALSE,FALSE
Meningococcal infection (A39),no.,2,4,6,NA,NA,NA,A39,Meningococcal infection,FALSE,FALSE
Streptococcal sepsis (A40),no.,111,71,182,0.7,0.4,0.5,A40,Streptococcal sepsis,FALSE,FALSE
Other sepsis (A41),no.,7170,6624,13794,42.7,31.3,36.5,A41,Other sepsis,FALSE,FALSE
Actinomycosis (A42),no.,1,2,3,NA,NA,NA,A42,Actinomycosis,FALSE,FALSE
Nocardiosis (A43),no.,9,3,12,NA,NA,NA,A43,Nocardiosis,FALSE,FALSE
Bartonellosis (A44),no.,1,0,1,NA,NA,NA,A44,Bartonellosis,FALSE,FALSE
Erysipelas (A46),no.,0,0,0,NA,NA,NA,A46,Erysipelas,FALSE,FALSE
"Other bacterial diseases, not elsewhere classified (A48)",no.,31,10,41,0.2,NA,0.1,A48,"Other bacterial diseases, not elsewhere classified",FALSE,FALSE
Bacterial infection of unspecified site (A49),no.,873,542,1415,5.3,2.7,3.9,A49,Bacterial infection of unspecified site,FALSE,FALSE
Infections with a predominantly sexual mode of transmission  (A50-A64),no.,9,3,12,NA,NA,NA,A50-A64,Infections with a predominantly sexual mode of transmission,FALSE,FALSE
Congenital syphilis (A50),no.,1,1,2,NA,NA,NA,A50,Congenital syphilis,FALSE,FALSE
Early syphilis (A51),no.,0,1,1,NA,NA,NA,A51,Early syphilis,FALSE,FALSE
Late syphilis (A52),no.,3,0,3,NA,NA,NA,A52,Late syphilis,FALSE,FALSE
Other and unspecified syphilis (A53),no.,4,1,5,NA,NA,NA,A53,Other and unspecified syphilis,FALSE,FALSE
Gonococcal infection (A54),no.,1,0,1,NA,NA,NA,A54,Gonococcal infection,FALSE,FALSE
Chlamydial lymphogranuloma (venereum) (A55),no.,0,0,0,NA,NA,NA,A55,Chlamydial lymphogranuloma,FALSE,FALSE
Other sexually transmitted chlamydial diseases (A56),no.,0,0,0,NA,NA,NA,A56,Other sexually transmitted chlamydial diseases,FALSE,FALSE
Chancroid (A57),no.,0,0,0,NA,NA,NA,A57,Chancroid,FALSE,FALSE
Granuloma inguinale (A58),no.,0,0,0,NA,NA,NA,A58,Granuloma inguinale,FALSE,FALSE
Trichomoniasis (A59),no.,0,0,0,NA,NA,NA,A59,Trichomoniasis,FALSE,FALSE
Anogenital herpesviral [herpes simplex] infection (A60),no.,0,0,0,NA,NA,NA,A60,Anogenital herpesviral [herpes simplex] infection,FALSE,FALSE
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",no.,0,0,0,NA,NA,NA,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",FALSE,FALSE
Unspecified sexually transmitted disease (A64),no.,0,0,0,NA,NA,NA,A64,Unspecified sexually transmitted disease,FALSE,FALSE
Other spirochaetal diseases  (A65-A69),no.,3,1,4,NA,NA,NA,A65-A69,Other spirochaetal diseases,FALSE,FALSE
Nonvenereal syphilis (A65),no.,0,0,0,NA,NA,NA,A65,Nonvenereal syphilis,FALSE,FALSE
Yaws (A66),no.,0,0,0,NA,NA,NA,A66,Yaws,FALSE,FALSE
Pinta [carate] (A67),no.,0,0,0,NA,NA,NA,A67,Pinta [carate],FALSE,FALSE
Relapsing fevers (A68),no.,0,0,0,NA,NA,NA,A68,Relapsing fevers,FALSE,FALSE
Other spirochaetal infections (A69),no.,3,1,4,NA,NA,NA,A69,Other spirochaetal infections,FALSE,FALSE
Other diseases caused by chlamydiae  (A70-A74),no.,2,1,3,NA,NA,NA,A70-A74,Other diseases caused by chlamydiae,FALSE,FALSE
Chlamydia psittaci infection (A70),no.,1,1,2,NA,NA,NA,A70,Chlamydia psittaci infection,FALSE,FALSE
Trachoma (A71),no.,0,0,0,NA,NA,NA,A71,Trachoma,FALSE,FALSE
Other diseases caused by chlamydiae (A74),no.,1,0,1,NA,NA,NA,A74,Other diseases caused by chlamydiae,FALSE,FALSE
Rickettsioses  (A75-A79),no.,3,2,5,NA,NA,NA,A75-A79,Rickettsioses,FALSE,FALSE
Typhus fever (A75),no.,0,0,0,NA,NA,NA,A75,Typhus fever,FALSE,FALSE
Spotted fever [tick-borne rickettsioses] (A77),no.,0,1,1,NA,NA,NA,A77,Spotted fever [tick-borne rickettsioses],FALSE,FALSE
Q fever (A78),no.,3,1,4,NA,NA,NA,A78,Q fever,FALSE,FALSE
Other rickettsioses (A79),no.,0,0,0,NA,NA,NA,A79,Other rickettsioses,FALSE,FALSE
Viral infections of the central nervous system  (A80-A89),no.,68,45,113,0.4,0.2,0.3,A80-A89,Viral infections of the central nervous system,FALSE,FALSE
Acute poliomyelitis (A80),no.,0,0,0,NA,NA,NA,A80,Acute poliomyelitis,FALSE,FALSE
Slow virus infections of central nervous system (A81),no.,50,35,85,0.3,0.2,0.3,A81,Slow virus infections of central nervous system,FALSE,FALSE
Rabies (A82),no.,0,0,0,NA,NA,NA,A82,Rabies,FALSE,FALSE
Mosquito-borne viral encephalitis (A83),no.,2,0,2,NA,NA,NA,A83,Mosquito-borne viral encephalitis,FALSE,FALSE
Tick-borne viral encephalitis (A84),no.,0,0,0,NA,NA,NA,A84,Tick-borne viral encephalitis,FALSE,FALSE
"Other viral encephalitis, not elsewhere classified (A85)",no.,1,0,1,NA,NA,NA,A85,"Other viral encephalitis, not elsewhere classified",FALSE,FALSE
Unspecified viral encephalitis (A86),no.,14,8,22,NA,NA,0.1,A86,Unspecified viral encephalitis,FALSE,FALSE
Viral meningitis (A87),no.,1,1,2,NA,NA,NA,A87,Viral meningitis,FALSE,FALSE
"Other viral infections of central nervous system, not elsewhere classified (A88)",no.,0,0,0,NA,NA,NA,A88,"Other viral infections of central nervous system, not elsewhere classified",FALSE,FALSE
Unspecified viral infection of central nervous system (A89),no.,0,1,1,NA,NA,NA,A89,Unspecified viral infection of central nervous system,FALSE,FALSE
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),no.,0,0,0,NA,NA,NA,A90-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,FALSE,FALSE
Dengue fever [classical dengue] (A90),no.,0,0,0,NA,NA,NA,A90,Dengue fever [classical dengue],FALSE,FALSE
Dengue haemorrhagic fever (A91),no.,0,0,0,NA,NA,NA,A91,Dengue haemorrhagic fever,FALSE,FALSE
Other mosquito-borne viral fevers (A92),no.,0,0,0,NA,NA,NA,A92,Other mosquito-borne viral fevers,FALSE,FALSE
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",no.,0,0,0,NA,NA,NA,A93,"Other arthropod-borne viral fevers, not elsewhere classified",FALSE,FALSE
Unspecified arthropod-borne viral fever (A94),no.,0,0,0,NA,NA,NA,A94,Unspecified arthropod-borne viral fever,FALSE,FALSE
Yellow fever (A95),no.,0,0,0,NA,NA,NA,A95,Yellow fever,FALSE,FALSE
Arenaviral haemorrhagic fever (A96),no.,0,0,0,NA,NA,NA,A96,Arenaviral haemorrhagic fever,FALSE,FALSE
Dengue (A97),no.,0,0,0,NA,NA,NA,A97,Dengue,FALSE,FALSE
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",no.,0,0,0,NA,NA,NA,A98,"Other viral haemorrhagic fevers, not elsewhere classified",FALSE,FALSE
Unspecified viral haemorrhagic fever (A99),no.,0,0,0,NA,NA,NA,A99,Unspecified viral haemorrhagic fever,FALSE,FALSE
Viral infections characterized by skin and mucous membrane lesions (B00-B09),no.,121,136,257,0.7,0.6,0.7,B00-B09,Viral infections characterized by skin and mucous membrane lesions,FALSE,FALSE
Herpesviral [herpes simplex] infections (B00),no.,41,39,80,0.2,0.2,0.2,B00,Herpesviral [herpes simplex] infections,FALSE,FALSE
Varicella [chickenpox] (B01),no.,14,6,20,NA,NA,0.1,B01,Varicella [chickenpox],FALSE,FALSE
Zoster [herpes zoster] (B02),no.,63,93,156,0.4,0.4,0.4,B02,Zoster [herpes zoster],FALSE,FALSE
Smallpox (B03),no.,0,0,0,NA,NA,NA,B03,Smallpox,FALSE,FALSE
Monkeypox (B04),no.,0,0,0,NA,NA,NA,B04,Monkeypox,FALSE,FALSE
Measles (B05),no.,2,0,2,NA,NA,NA,B05,Measles,FALSE,FALSE
Rubella [German measles] (B06),no.,2,0,2,NA,NA,NA,B06,Rubella [German measles],FALSE,FALSE
Viral warts (B07),no.,0,0,0,NA,NA,NA,B07,Viral warts,FALSE,FALSE
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",no.,0,0,0,NA,NA,NA,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",FALSE,FALSE
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),no.,0,0,0,NA,NA,NA,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,FALSE,FALSE
Viral hepatitis  (B15-B19),no.,547,191,738,3.6,1.2,2.3,B15-B19,Viral hepatitis,FALSE,FALSE
Acute hepatitis A (B15),no.,4,1,5,NA,NA,NA,B15,Acute hepatitis A,FALSE,FALSE
Acute hepatitis B (B16),no.,9,2,11,NA,NA,NA,B16,Acute hepatitis B,FALSE,FALSE
Other acute viral hepatitis (B17),no.,5,2,7,NA,NA,NA,B17,Other acute viral hepatitis,FALSE,FALSE
Chronic viral hepatitis (B18),no.,531,187,718,3.5,1.2,2.3,B18,Chronic viral hepatitis,FALSE,FALSE
Unspecified viral hepatitis (B19),no.,3,0,3,NA,NA,NA,B19,Unspecified viral hepatitis,FALSE,FALSE
Human immunodeficiency virus [HIV] disease  (B20-B24),no.,138,9,147,0.9,NA,0.5,B20-B24,Human immunodeficiency virus [HIV] disease,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),no.,10,2,12,NA,NA,NA,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),no.,6,1,7,NA,NA,NA,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),no.,5,2,7,NA,NA,NA,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),no.,9,0,9,NA,NA,NA,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,FALSE,FALSE
Unspecified human immunodeficiency virus [HIV] disease (B24),no.,134,9,143,0.9,NA,0.4,B24,Unspecified human immunodeficiency virus [HIV] disease,FALSE,FALSE
Other viral diseases  (B25-B34),no.,319,369,688,2,1.8,1.9,B25-B34,Other viral diseases,FALSE,FALSE
Cytomegaloviral disease (B25),no.,32,14,46,0.2,NA,0.2,B25,Cytomegaloviral disease,FALSE,FALSE
Mumps (B26),no.,0,0,0,NA,NA,NA,B26,Mumps,FALSE,FALSE
Infectious mononucleosis (B27),no.,11,8,19,NA,NA,NA,B27,Infectious mononucleosis,FALSE,FALSE
Viral conjunctivitis (B30),no.,0,0,0,NA,NA,NA,B30,Viral conjunctivitis,FALSE,FALSE
"Other viral diseases, not elsewhere classified (B33)",no.,9,2,11,NA,NA,NA,B33,"Other viral diseases, not elsewhere classified",FALSE,FALSE
Viral infection of unspecified site (B34),no.,272,349,621,1.7,1.7,1.7,B34,Viral infection of unspecified site,FALSE,FALSE
Mycoses  (B35-B49),no.,311,170,481,1.9,0.9,1.4,B35-B49,Mycoses,FALSE,FALSE
Dermatophytosis (B35),no.,0,0,0,NA,NA,NA,B35,Dermatophytosis,FALSE,FALSE
Other superficial mycoses (B36),no.,0,0,0,NA,NA,NA,B36,Other superficial mycoses,FALSE,FALSE
Candidiasis (B37),no.,66,38,104,0.4,0.2,0.3,B37,Candidiasis,FALSE,FALSE
Coccidioidomycosis (B38),no.,0,0,0,NA,NA,NA,B38,Coccidioidomycosis,FALSE,FALSE
Histoplasmosis (B39),no.,0,1,1,NA,NA,NA,B39,Histoplasmosis,FALSE,FALSE
Blastomycosis (B40),no.,0,0,0,NA,NA,NA,B40,Blastomycosis,FALSE,FALSE
Paracoccidioidomycosis (B41),no.,0,0,0,NA,NA,NA,B41,Paracoccidioidomycosis,FALSE,FALSE
Sporotrichosis (B42),no.,0,0,0,NA,NA,NA,B42,Sporotrichosis,FALSE,FALSE
Chromomycosis and phaeomycotic abscess (B43),no.,0,0,0,NA,NA,NA,B43,Chromomycosis and phaeomycotic abscess,FALSE,FALSE
Aspergillosis (B44),no.,56,34,90,0.3,0.2,0.3,B44,Aspergillosis,FALSE,FALSE
Cryptococcosis (B45),no.,25,6,31,0.2,NA,0.1,B45,Cryptococcosis,FALSE,FALSE
Zygomycosis (B46),no.,5,6,11,NA,NA,NA,B46,Zygomycosis,FALSE,FALSE
Mycetoma (B47),no.,2,0,2,NA,NA,NA,B47,Mycetoma,FALSE,FALSE
"Other mycoses, not elsewhere classified (B48)",no.,63,37,100,0.4,0.2,0.3,B48,"Other mycoses, not elsewhere classified",FALSE,FALSE
Unspecified mycosis (B49),no.,99,52,151,0.6,0.3,0.4,B49,Unspecified mycosis,FALSE,FALSE
Protozoal diseases  (B50-B64),no.,6,1,7,NA,NA,NA,B50-B64,Protozoal diseases,FALSE,FALSE
Plasmodium falciparum malaria (B50),no.,1,0,1,NA,NA,NA,B50,Plasmodium falciparum malaria,FALSE,FALSE
Plasmodium vivax malaria (B51),no.,0,0,0,NA,NA,NA,B51,Plasmodium vivax malaria,FALSE,FALSE
Plasmodium malariae malaria (B52),no.,0,0,0,NA,NA,NA,B52,Plasmodium malariae malaria,FALSE,FALSE
Other parasitologically confirmed malaria (B53),no.,0,0,0,NA,NA,NA,B53,Other parasitologically confirmed malaria,FALSE,FALSE
Unspecified malaria (B54),no.,1,0,1,NA,NA,NA,B54,Unspecified malaria,FALSE,FALSE
Leishmaniasis (B55),no.,0,0,0,NA,NA,NA,B55,Leishmaniasis,FALSE,FALSE
African trypanosomiasis (B56),no.,0,0,0,NA,NA,NA,B56,African trypanosomiasis,FALSE,FALSE
Chagas' disease (B57),no.,0,0,0,NA,NA,NA,B57,Chagas' disease,FALSE,FALSE
Toxoplasmosis (B58),no.,2,1,3,NA,NA,NA,B58,Toxoplasmosis,FALSE,FALSE
Pneumocystosis (B59),no.,0,0,0,NA,NA,NA,B59,Pneumocystosis,FALSE,FALSE
"Other protozoal diseases, not elsewhere classified (B60)",no.,2,0,2,NA,NA,NA,B60,"Other protozoal diseases, not elsewhere classified",FALSE,FALSE
Unspecified protozoal disease (B64),no.,0,0,0,NA,NA,NA,B64,Unspecified protozoal disease,FALSE,FALSE
Helminthiases  (B65-B83),no.,6,4,10,NA,NA,NA,B65-B83,Helminthiases,FALSE,FALSE
Schistosomiasis [bilharziasis] (B65),no.,1,1,2,NA,NA,NA,B65,Schistosomiasis [bilharziasis],FALSE,FALSE
Other fluke infections (B66),no.,0,0,0,NA,NA,NA,B66,Other fluke infections,FALSE,FALSE
Echinococcosis (B67),no.,1,3,4,NA,NA,NA,B67,Echinococcosis,FALSE,FALSE
Taeniasis (B68),no.,0,0,0,NA,NA,NA,B68,Taeniasis,FALSE,FALSE
Cysticercosis (B69),no.,1,0,1,NA,NA,NA,B69,Cysticercosis,FALSE,FALSE
Diphyllobothriasis and sparganosis (B70),no.,0,0,0,NA,NA,NA,B70,Diphyllobothriasis and sparganosis,FALSE,FALSE
Other cestode infections (B71),no.,0,0,0,NA,NA,NA,B71,Other cestode infections,FALSE,FALSE
Dracunculiasis (B72),no.,0,0,0,NA,NA,NA,B72,Dracunculiasis,FALSE,FALSE
Onchocerciasis (B73),no.,0,0,0,NA,NA,NA,B73,Onchocerciasis,FALSE,FALSE
Filariasis (B74),no.,0,0,0,NA,NA,NA,B74,Filariasis,FALSE,FALSE
Trichinellosis (B75),no.,0,0,0,NA,NA,NA,B75,Trichinellosis,FALSE,FALSE
Hookworm diseases (B76),no.,0,0,0,NA,NA,NA,B76,Hookworm diseases,FALSE,FALSE
Ascariasis (B77),no.,0,0,0,NA,NA,NA,B77,Ascariasis,FALSE,FALSE
Strongyloidiasis (B78),no.,2,0,2,NA,NA,NA,B78,Strongyloidiasis,FALSE,FALSE
Trichuriasis (B79),no.,0,0,0,NA,NA,NA,B79,Trichuriasis,FALSE,FALSE
Enterobiasis (B80),no.,0,0,0,NA,NA,NA,B80,Enterobiasis,FALSE,FALSE
"Other intestinal helminthiases, not elsewhere classified (B81)",no.,0,0,0,NA,NA,NA,B81,"Other intestinal helminthiases, not elsewhere classified",FALSE,FALSE
Unspecified intestinal parasitism (B82),no.,1,0,1,NA,NA,NA,B82,Unspecified intestinal parasitism,FALSE,FALSE
Other helminthiases (B83),no.,0,0,0,NA,NA,NA,B83,Other helminthiases,FALSE,FALSE
"Pediculosis, acariasis and other infestations  (B85-B89)",no.,5,2,7,NA,NA,NA,B85-B89,"Pediculosis, acariasis and other infestations",FALSE,FALSE
Pediculosis and phthiriasis (B85),no.,1,0,1,NA,NA,NA,B85,Pediculosis and phthiriasis,FALSE,FALSE
Scabies (B86),no.,4,2,6,NA,NA,NA,B86,Scabies,FALSE,FALSE
Myiasis (B87),no.,0,0,0,NA,NA,NA,B87,Myiasis,FALSE,FALSE
Other infestations (B88),no.,0,0,0,NA,NA,NA,B88,Other infestations,FALSE,FALSE
Unspecified parasitic disease (B89),no.,0,0,0,NA,NA,NA,B89,Unspecified parasitic disease,FALSE,FALSE
Sequelae of infectious and parasitic diseases  (B90-B94),no.,61,45,106,0.4,0.2,0.3,B90-B94,Sequelae of infectious and parasitic diseases,FALSE,FALSE
Sequelae of tuberculosis (B90),no.,12,9,21,NA,NA,0.1,B90,Sequelae of tuberculosis,FALSE,FALSE
Sequelae of poliomyelitis (B91),no.,25,27,52,0.1,0.1,0.1,B91,Sequelae of poliomyelitis,FALSE,FALSE
Sequelae of leprosy (B92),no.,0,0,0,NA,NA,NA,B92,Sequelae of leprosy,FALSE,FALSE
Sequelae of other and unspecified infectious and parasitic diseases (B94),no.,24,9,33,0.1,NA,0.1,B94,Sequelae of other and unspecified infectious and parasitic diseases,FALSE,FALSE
"Bacterial,viral and other infectious agents (B95-B98)",no.,231,268,499,1.4,1.3,1.3,B95-B98,"Bacterial,viral and other infectious agents",FALSE,FALSE
Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),no.,51,28,79,0.3,0.1,0.2,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,FALSE,FALSE
Other bacterial agents as the cause of diseases classified to other chapters (B96),no.,48,54,102,0.3,0.3,0.3,B96,Other bacterial agents as the cause of diseases classified to other chapters,FALSE,FALSE
Viral agents as the cause of diseases classified to other chapters (B97),no.,132,181,313,0.8,0.8,0.8,B97,Viral agents as the cause of diseases classified to other chapters,FALSE,FALSE
Other specified infectious agents as the cause of diseases classified to other chapters (B98),no.,3,7,10,NA,NA,NA,B98,Other specified infectious agents as the cause of diseases classified to other chapters,FALSE,FALSE
Other infectious diseases  (B99),no.,241,260,501,1.4,1.2,1.3,B99,Other infectious diseases,FALSE,FALSE
Other and unspecified infectious diseases (B99),no.,241,260,501,1.4,1.2,1.3,B99,Other and unspecified infectious diseases,FALSE,FALSE
CHAPTER II Neoplasms (C00-D48),no.,35210,26778,61988,210.2,136.7,169.8,C00-D48,CHAPTER II Neoplasms,TRUE,FALSE
Malignant neoplasms  (C00-C97),no.,34085,25765,59850,203.5,131.9,164.2,C00-C97,Malignant neoplasms,FALSE,FALSE
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",no.,931,372,1303,5.6,1.9,3.6,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",FALSE,FALSE
Malignant neoplasm of lip (C00),no.,8,4,12,NA,NA,NA,C00,Malignant neoplasm of lip,FALSE,FALSE
Malignant neoplasm of base of tongue (C01),no.,60,21,81,0.4,0.1,0.2,C01,Malignant neoplasm of base of tongue,FALSE,FALSE
Malignant neoplasm of other and unspecified parts of tongue (C02),no.,166,99,265,1,0.5,0.7,C02,Malignant neoplasm of other and unspecified parts of tongue,FALSE,FALSE
Malignant neoplasm of gum (C03),no.,50,41,91,0.3,0.2,0.2,C03,Malignant neoplasm of gum,FALSE,FALSE
Malignant neoplasm of floor of mouth (C04),no.,21,9,30,0.1,NA,0.1,C04,Malignant neoplasm of floor of mouth,FALSE,FALSE
Malignant neoplasm of palate (C05),no.,16,6,22,NA,NA,0.1,C05,Malignant neoplasm of palate,FALSE,FALSE
Malignant neoplasm of other and unspecified parts of mouth (C06),no.,77,61,138,0.5,0.3,0.4,C06,Malignant neoplasm of other and unspecified parts of mouth,FALSE,FALSE
Malignant neoplasm of parotid gland (C07),no.,89,21,110,0.5,0.1,0.3,C07,Malignant neoplasm of parotid gland,FALSE,FALSE
Malignant neoplasm of other and unspecified major salivary glands (C08),no.,36,11,47,0.2,NA,0.1,C08,Malignant neoplasm of other and unspecified major salivary glands,FALSE,FALSE
Malignant neoplasm of tonsil (C09),no.,115,27,142,0.7,0.1,0.4,C09,Malignant neoplasm of tonsil,FALSE,FALSE
Malignant neoplasm of oropharynx (C10),no.,140,27,167,0.8,0.1,0.5,C10,Malignant neoplasm of oropharynx,FALSE,FALSE
Malignant neoplasm of nasopharynx (C11),no.,52,24,76,0.3,0.1,0.2,C11,Malignant neoplasm of nasopharynx,FALSE,FALSE
Malignant neoplasm of pyriform sinus (C12),no.,10,3,13,NA,NA,NA,C12,Malignant neoplasm of pyriform sinus,FALSE,FALSE
Malignant neoplasm of hypopharynx (C13),no.,49,14,63,0.3,NA,0.2,C13,Malignant neoplasm of hypopharynx,FALSE,FALSE
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",no.,65,17,82,0.4,NA,0.2,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",FALSE,FALSE
Malignant neoplasms of digestive organs  (C15-C26),no.,9819,7141,16960,58.9,36.2,46.8,C15-C26,Malignant neoplasms of digestive organs,FALSE,FALSE
Malignant neoplasm of oesophagus (C15),no.,1163,414,1577,6.9,2.1,4.4,C15,Malignant neoplasm of oesophagus,FALSE,FALSE
Malignant neoplasm of stomach (C16),no.,835,465,1300,5.1,2.5,3.7,C16,Malignant neoplasm of stomach,FALSE,FALSE
Malignant neoplasm of small intestine (C17),no.,108,88,196,0.6,0.5,0.5,C17,Malignant neoplasm of small intestine,FALSE,FALSE
Malignant neoplasm of colon (C18),no.,941,851,1792,5.6,4.1,4.8,C18,Malignant neoplasm of colon,FALSE,FALSE
Malignant neoplasm of rectosigmoid junction (C19),no.,1439,1064,2503,8.8,5.6,7,C19,Malignant neoplasm of rectosigmoid junction,FALSE,FALSE
Malignant neoplasm of rectum (C20),no.,549,341,890,3.3,1.8,2.5,C20,Malignant neoplasm of rectum,FALSE,FALSE
Malignant neoplasm of anus and anal canal (C21),no.,66,91,157,0.4,0.5,0.4,C21,Malignant neoplasm of anus and anal canal,FALSE,FALSE
