cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Bartonellosis (A44),no.,0,0,0,0,0,NA,A44,Bartonellosis,FALSE,FALSE
Erysipelas (A46),no.,0,0,0,0,0,NA,A46,Erysipelas,FALSE,FALSE
"Other bacterial diseases, not elsewhere classified (A48)",no.,4,3,5,3,3,3.1,A48,"Other bacterial diseases, not elsewhere classified",FALSE,FALSE
Bacterial infection of unspecified site (A49),no.,24,61,60,50,81,3.7,A49,Bacterial infection of unspecified site,FALSE,FALSE
Infections with a predominantly sexual mode of transmission  (A50-A64),no.,0,0,0,0,0,NA,A50-A64,Infections with a predominantly sexual mode of transmission,FALSE,FALSE
Congenital syphilis (A50),no.,0,0,0,0,0,NA,A50,Congenital syphilis,FALSE,FALSE
Early syphilis (A51),no.,0,0,0,0,0,NA,A51,Early syphilis,FALSE,FALSE
Late syphilis (A52),no.,0,0,0,0,0,NA,A52,Late syphilis,FALSE,FALSE
Other and unspecified syphilis (A53),no.,0,0,0,0,0,NA,A53,Other and unspecified syphilis,FALSE,FALSE
Gonococcal infection (A54),no.,0,0,0,0,0,NA,A54,Gonococcal infection,FALSE,FALSE
Chlamydial lymphogranuloma (venereum) (A55),no.,0,0,0,0,0,NA,A55,Chlamydial lymphogranuloma,FALSE,FALSE
Other sexually transmitted chlamydial diseases (A56),no.,0,0,0,0,0,NA,A56,Other sexually transmitted chlamydial diseases,FALSE,FALSE
Chancroid (A57),no.,0,0,0,0,0,NA,A57,Chancroid,FALSE,FALSE
Granuloma inguinale (A58),no.,0,0,0,0,0,NA,A58,Granuloma inguinale,FALSE,FALSE
Trichomoniasis (A59),no.,0,0,0,0,0,NA,A59,Trichomoniasis,FALSE,FALSE
Anogenital herpesviral [herpes simplex] infection (A60),no.,0,0,0,0,0,NA,A60,Anogenital herpesviral [herpes simplex] infection,FALSE,FALSE
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",no.,0,0,0,0,0,NA,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",FALSE,FALSE
Unspecified sexually transmitted disease (A64),no.,0,0,0,0,0,NA,A64,Unspecified sexually transmitted disease,FALSE,FALSE
Other spirochaetal diseases  (A65-A69),no.,0,0,0,0,0,NA,A65-A69,Other spirochaetal diseases,FALSE,FALSE
Nonvenereal syphilis (A65),no.,0,0,0,0,0,NA,A65,Nonvenereal syphilis,FALSE,FALSE
Yaws (A66),no.,0,0,0,0,0,NA,A66,Yaws,FALSE,FALSE
Pinta [carate] (A67),no.,0,0,0,0,0,NA,A67,Pinta [carate],FALSE,FALSE
Relapsing fevers (A68),no.,0,0,0,0,0,NA,A68,Relapsing fevers,FALSE,FALSE
Other spirochaetal infections (A69),no.,0,0,0,0,0,NA,A69,Other spirochaetal infections,FALSE,FALSE
Other diseases caused by chlamydiae  (A70-A74),no.,0,0,0,1,0,4,A70-A74,Other diseases caused by chlamydiae,FALSE,FALSE
Chlamydia psittaci infection (A70),no.,0,0,0,1,0,4,A70,Chlamydia psittaci infection,FALSE,FALSE
Trachoma (A71),no.,0,0,0,0,0,NA,A71,Trachoma,FALSE,FALSE
Other diseases caused by chlamydiae (A74),no.,0,0,0,0,0,NA,A74,Other diseases caused by chlamydiae,FALSE,FALSE
Rickettsioses  (A75-A79),no.,0,0,1,1,0,3.5,A75-A79,Rickettsioses,FALSE,FALSE
Typhus fever (A75),no.,0,0,0,0,0,NA,A75,Typhus fever,FALSE,FALSE
Spotted fever [tick-borne rickettsioses] (A77),no.,0,0,0,1,0,4,A77,Spotted fever [tick-borne rickettsioses],FALSE,FALSE
Q fever (A78),no.,0,0,1,0,0,3,A78,Q fever,FALSE,FALSE
Other rickettsioses (A79),no.,0,0,0,0,0,NA,A79,Other rickettsioses,FALSE,FALSE
Viral infections of the central nervous system  (A80-A89),no.,51,16,9,4,12,2.2,A80-A89,Viral infections of the central nervous system,FALSE,FALSE
Acute poliomyelitis (A80),no.,0,0,0,0,0,NA,A80,Acute poliomyelitis,FALSE,FALSE
Slow virus infections of central nervous system (A81),no.,50,11,5,1,6,1.7,A81,Slow virus infections of central nervous system,FALSE,FALSE
Rabies (A82),no.,0,0,0,0,0,NA,A82,Rabies,FALSE,FALSE
Mosquito-borne viral encephalitis (A83),no.,0,1,1,0,0,2.5,A83,Mosquito-borne viral encephalitis,FALSE,FALSE
Tick-borne viral encephalitis (A84),no.,0,0,0,0,0,NA,A84,Tick-borne viral encephalitis,FALSE,FALSE
"Other viral encephalitis, not elsewhere classified (A85)",no.,0,0,0,0,1,7,A85,"Other viral encephalitis, not elsewhere classified",FALSE,FALSE
Unspecified viral encephalitis (A86),no.,1,4,3,3,4,3.7,A86,Unspecified viral encephalitis,FALSE,FALSE
Viral meningitis (A87),no.,0,0,0,0,1,9,A87,Viral meningitis,FALSE,FALSE
"Other viral infections of central nervous system, not elsewhere classified (A88)",no.,0,0,0,0,0,NA,A88,"Other viral infections of central nervous system, not elsewhere classified",FALSE,FALSE
Unspecified viral infection of central nervous system (A89),no.,0,0,0,0,0,NA,A89,Unspecified viral infection of central nervous system,FALSE,FALSE
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),no.,0,0,0,0,0,NA,A90-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,FALSE,FALSE
Dengue fever [classical dengue] (A90),no.,0,0,0,0,0,NA,A90,Dengue fever [classical dengue],FALSE,FALSE
Dengue haemorrhagic fever (A91),no.,0,0,0,0,0,NA,A91,Dengue haemorrhagic fever,FALSE,FALSE
Other mosquito-borne viral fevers (A92),no.,0,0,0,0,0,NA,A92,Other mosquito-borne viral fevers,FALSE,FALSE
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",no.,0,0,0,0,0,NA,A93,"Other arthropod-borne viral fevers, not elsewhere classified",FALSE,FALSE
Unspecified arthropod-borne viral fever (A94),no.,0,0,0,0,0,NA,A94,Unspecified arthropod-borne viral fever,FALSE,FALSE
Yellow fever (A95),no.,0,0,0,0,0,NA,A95,Yellow fever,FALSE,FALSE
Arenaviral haemorrhagic fever (A96),no.,0,0,0,0,0,NA,A96,Arenaviral haemorrhagic fever,FALSE,FALSE
Dengue (A97),no.,0,0,0,0,0,NA,A97,Dengue,FALSE,FALSE
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",no.,0,0,0,0,0,NA,A98,"Other viral haemorrhagic fevers, not elsewhere classified",FALSE,FALSE
Unspecified viral haemorrhagic fever (A99),no.,0,0,0,0,0,NA,A99,Unspecified viral haemorrhagic fever,FALSE,FALSE
Viral infections characterized by skin and mucous membrane lesions (B00-B09),no.,11,11,21,15,27,3.7,B00-B09,Viral infections characterized by skin and mucous membrane lesions,FALSE,FALSE
Herpesviral [herpes simplex] infections (B00),no.,6,5,4,5,9,3.6,B00,Herpesviral [herpes simplex] infections,FALSE,FALSE
Varicella [chickenpox] (B01),no.,0,1,4,2,2,3.8,B01,Varicella [chickenpox],FALSE,FALSE
Zoster [herpes zoster] (B02),no.,5,5,13,6,16,3.8,B02,Zoster [herpes zoster],FALSE,FALSE
Smallpox (B03),no.,0,0,0,0,0,NA,B03,Smallpox,FALSE,FALSE
Monkeypox (B04),no.,0,0,0,0,0,NA,B04,Monkeypox,FALSE,FALSE
Measles (B05),no.,0,0,0,1,0,4,B05,Measles,FALSE,FALSE
Rubella [German measles] (B06),no.,0,0,0,1,0,4,B06,Rubella [German measles],FALSE,FALSE
Viral warts (B07),no.,0,0,0,0,0,NA,B07,Viral warts,FALSE,FALSE
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",no.,0,0,0,0,0,NA,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",FALSE,FALSE
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),no.,0,0,0,0,0,NA,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,FALSE,FALSE
Viral hepatitis  (B15-B19),no.,0,8,14,20,42,4.8,B15-B19,Viral hepatitis,FALSE,FALSE
Acute hepatitis A (B15),no.,0,0,0,0,1,6,B15,Acute hepatitis A,FALSE,FALSE
Acute hepatitis B (B16),no.,0,0,0,1,0,4,B16,Acute hepatitis B,FALSE,FALSE
Other acute viral hepatitis (B17),no.,0,0,0,0,1,6,B17,Other acute viral hepatitis,FALSE,FALSE
Chronic viral hepatitis (B18),no.,0,8,14,19,39,4.8,B18,Chronic viral hepatitis,FALSE,FALSE
Unspecified viral hepatitis (B19),no.,0,0,0,0,1,6,B19,Unspecified viral hepatitis,FALSE,FALSE
Human immunodeficiency virus [HIV] disease  (B20-B24),no.,2,5,3,7,25,5,B20-B24,Human immunodeficiency virus [HIV] disease,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),no.,0,0,2,2,8,5.7,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),no.,0,0,1,4,2,4.6,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),no.,0,2,0,0,4,5,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,FALSE,FALSE
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),no.,0,0,0,1,8,5.8,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,FALSE,FALSE
Unspecified human immunodeficiency virus [HIV] disease (B24),no.,2,3,0,0,3,3.6,B24,Unspecified human immunodeficiency virus [HIV] disease,FALSE,FALSE
Other viral diseases  (B25-B34),no.,1,17,36,45,81,4.8,B25-B34,Other viral diseases,FALSE,FALSE
Cytomegaloviral disease (B25),no.,0,0,0,1,3,5.5,B25,Cytomegaloviral disease,FALSE,FALSE
Mumps (B26),no.,0,0,0,0,0,NA,B26,Mumps,FALSE,FALSE
Infectious mononucleosis (B27),no.,0,0,0,1,2,5.7,B27,Infectious mononucleosis,FALSE,FALSE
Viral conjunctivitis (B30),no.,0,0,0,0,0,NA,B30,Viral conjunctivitis,FALSE,FALSE
"Other viral diseases, not elsewhere classified (B33)",no.,0,0,0,1,2,5,B33,"Other viral diseases, not elsewhere classified",FALSE,FALSE
Viral infection of unspecified site (B34),no.,1,17,36,42,74,4.8,B34,Viral infection of unspecified site,FALSE,FALSE
Mycoses  (B35-B49),no.,2,9,12,19,27,4.5,B35-B49,Mycoses,FALSE,FALSE
Dermatophytosis (B35),no.,0,0,0,0,0,NA,B35,Dermatophytosis,FALSE,FALSE
Other superficial mycoses (B36),no.,0,0,0,0,0,NA,B36,Other superficial mycoses,FALSE,FALSE
Candidiasis (B37),no.,0,2,4,1,8,4.5,B37,Candidiasis,FALSE,FALSE
Coccidioidomycosis (B38),no.,0,0,0,0,0,NA,B38,Coccidioidomycosis,FALSE,FALSE
Histoplasmosis (B39),no.,0,0,0,0,0,NA,B39,Histoplasmosis,FALSE,FALSE
Blastomycosis (B40),no.,0,0,0,0,0,NA,B40,Blastomycosis,FALSE,FALSE
Paracoccidioidomycosis (B41),no.,0,0,0,0,0,NA,B41,Paracoccidioidomycosis,FALSE,FALSE
Sporotrichosis (B42),no.,0,0,0,0,0,NA,B42,Sporotrichosis,FALSE,FALSE
Chromomycosis and phaeomycotic abscess (B43),no.,0,0,0,0,0,NA,B43,Chromomycosis and phaeomycotic abscess,FALSE,FALSE
Aspergillosis (B44),no.,0,2,5,3,7,4.9,B44,Aspergillosis,FALSE,FALSE
Cryptococcosis (B45),no.,0,2,1,2,3,4.3,B45,Cryptococcosis,FALSE,FALSE
Zygomycosis (B46),no.,0,0,0,1,1,5,B46,Zygomycosis,FALSE,FALSE
Mycetoma (B47),no.,0,0,0,1,0,4,B47,Mycetoma,FALSE,FALSE
"Other mycoses, not elsewhere classified (B48)",no.,2,3,1,7,3,3.8,B48,"Other mycoses, not elsewhere classified",FALSE,FALSE
Unspecified mycosis (B49),no.,0,0,1,4,5,5.2,B49,Unspecified mycosis,FALSE,FALSE
Protozoal diseases  (B50-B64),no.,0,0,0,0,0,NA,B50-B64,Protozoal diseases,FALSE,FALSE
Plasmodium falciparum malaria (B50),no.,0,0,0,0,0,NA,B50,Plasmodium falciparum malaria,FALSE,FALSE
Plasmodium vivax malaria (B51),no.,0,0,0,0,0,NA,B51,Plasmodium vivax malaria,FALSE,FALSE
Plasmodium malariae malaria (B52),no.,0,0,0,0,0,NA,B52,Plasmodium malariae malaria,FALSE,FALSE
Other parasitologically confirmed malaria (B53),no.,0,0,0,0,0,NA,B53,Other parasitologically confirmed malaria,FALSE,FALSE
Unspecified malaria (B54),no.,0,0,0,0,0,NA,B54,Unspecified malaria,FALSE,FALSE
Leishmaniasis (B55),no.,0,0,0,0,0,NA,B55,Leishmaniasis,FALSE,FALSE
African trypanosomiasis (B56),no.,0,0,0,0,0,NA,B56,African trypanosomiasis,FALSE,FALSE
Chagas' disease (B57),no.,0,0,0,0,0,NA,B57,Chagas' disease,FALSE,FALSE
Toxoplasmosis (B58),no.,0,0,0,0,0,NA,B58,Toxoplasmosis,FALSE,FALSE
Pneumocystosis (B59),no.,0,0,0,0,0,NA,B59,Pneumocystosis,FALSE,FALSE
"Other protozoal diseases, not elsewhere classified (B60)",no.,0,0,0,0,0,NA,B60,"Other protozoal diseases, not elsewhere classified",FALSE,FALSE
Unspecified protozoal disease (B64),no.,0,0,0,0,0,NA,B64,Unspecified protozoal disease,FALSE,FALSE
Helminthiases  (B65-B83),no.,0,0,1,0,2,4.3,B65-B83,Helminthiases,FALSE,FALSE
Schistosomiasis [bilharziasis] (B65),no.,0,0,1,0,1,4,B65,Schistosomiasis [bilharziasis],FALSE,FALSE
Other fluke infections (B66),no.,0,0,0,0,0,NA,B66,Other fluke infections,FALSE,FALSE
Echinococcosis (B67),no.,0,0,0,0,0,NA,B67,Echinococcosis,FALSE,FALSE
Taeniasis (B68),no.,0,0,0,0,0,NA,B68,Taeniasis,FALSE,FALSE
Cysticercosis (B69),no.,0,0,0,0,0,NA,B69,Cysticercosis,FALSE,FALSE
Diphyllobothriasis and sparganosis (B70),no.,0,0,0,0,0,NA,B70,Diphyllobothriasis and sparganosis,FALSE,FALSE
Other cestode infections (B71),no.,0,0,0,0,0,NA,B71,Other cestode infections,FALSE,FALSE
Dracunculiasis (B72),no.,0,0,0,0,0,NA,B72,Dracunculiasis,FALSE,FALSE
Onchocerciasis (B73),no.,0,0,0,0,0,NA,B73,Onchocerciasis,FALSE,FALSE
Filariasis (B74),no.,0,0,0,0,0,NA,B74,Filariasis,FALSE,FALSE
Trichinellosis (B75),no.,0,0,0,0,0,NA,B75,Trichinellosis,FALSE,FALSE
Hookworm diseases (B76),no.,0,0,0,0,0,NA,B76,Hookworm diseases,FALSE,FALSE
Ascariasis (B77),no.,0,0,0,0,0,NA,B77,Ascariasis,FALSE,FALSE
Strongyloidiasis (B78),no.,0,0,0,0,0,NA,B78,Strongyloidiasis,FALSE,FALSE
Trichuriasis (B79),no.,0,0,0,0,0,NA,B79,Trichuriasis,FALSE,FALSE
Enterobiasis (B80),no.,0,0,0,0,0,NA,B80,Enterobiasis,FALSE,FALSE
"Other intestinal helminthiases, not elsewhere classified (B81)",no.,0,0,0,0,0,NA,B81,"Other intestinal helminthiases, not elsewhere classified",FALSE,FALSE
Unspecified intestinal parasitism (B82),no.,0,0,0,0,1,5,B82,Unspecified intestinal parasitism,FALSE,FALSE
Other helminthiases (B83),no.,0,0,0,0,0,NA,B83,Other helminthiases,FALSE,FALSE
"Pediculosis, acariasis and other infestations  (B85-B89)",no.,0,0,0,0,1,6,B85-B89,"Pediculosis, acariasis and other infestations",FALSE,FALSE
Pediculosis and phthiriasis (B85),no.,0,0,0,0,0,NA,B85,Pediculosis and phthiriasis,FALSE,FALSE
Scabies (B86),no.,0,0,0,0,1,6,B86,Scabies,FALSE,FALSE
Myiasis (B87),no.,0,0,0,0,0,NA,B87,Myiasis,FALSE,FALSE
Other infestations (B88),no.,0,0,0,0,0,NA,B88,Other infestations,FALSE,FALSE
Unspecified parasitic disease (B89),no.,0,0,0,0,0,NA,B89,Unspecified parasitic disease,FALSE,FALSE
Sequelae of infectious and parasitic diseases  (B90-B94),no.,0,1,5,5,11,5.1,B90-B94,Sequelae of infectious and parasitic diseases,FALSE,FALSE
Sequelae of tuberculosis (B90),no.,0,0,0,0,5,6.4,B90,Sequelae of tuberculosis,FALSE,FALSE
Sequelae of poliomyelitis (B91),no.,0,0,2,3,3,5.4,B91,Sequelae of poliomyelitis,FALSE,FALSE
Sequelae of leprosy (B92),no.,0,0,0,0,0,NA,B92,Sequelae of leprosy,FALSE,FALSE
Sequelae of other and unspecified infectious and parasitic diseases (B94),no.,0,1,3,2,3,4.2,B94,Sequelae of other and unspecified infectious and parasitic diseases,FALSE,FALSE
"Bacterial,viral and other infectious agents (B95-B98)",no.,0,0,0,0,0,NA,B95-B98,"Bacterial,viral and other infectious agents",FALSE,FALSE
Streptococcus and staphylococcus as the cause of diseases classified to other chapters (B95),no.,0,0,0,0,0,NA,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,FALSE,FALSE
Other bacterial agents as the cause of diseases classified to other chapters (B96),no.,0,0,0,0,0,NA,B96,Other bacterial agents as the cause of diseases classified to other chapters,FALSE,FALSE
Viral agents as the cause of diseases classified to other chapters (B97),no.,0,0,0,0,0,NA,B97,Viral agents as the cause of diseases classified to other chapters,FALSE,FALSE
Other specified infectious agents as the cause of diseases classified to other chapters (B98),no.,0,0,0,0,0,NA,B98,Other specified infectious agents as the cause of diseases classified to other chapters,FALSE,FALSE
Other infectious diseases  (B99),no.,6,9,11,10,18,3.8,B99,Other infectious diseases,FALSE,FALSE
Other and unspecified infectious diseases (B99),no.,6,9,11,10,18,3.8,B99,Other and unspecified infectious diseases,FALSE,FALSE
CHAPTER II Neoplasms (C00-D48),no.,19466,11479,8650,5469,7755,2.6,C00-D48,CHAPTER II Neoplasms,TRUE,FALSE
Malignant neoplasms  (C00-C97),no.,19200,11198,8378,5253,7377,2.6,C00-C97,Malignant neoplasms,FALSE,FALSE
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",no.,378,268,145,102,176,2.7,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",FALSE,FALSE
Malignant neoplasm of lip (C00),no.,1,1,2,4,0,3.1,C00,Malignant neoplasm of lip,FALSE,FALSE
Malignant neoplasm of base of tongue (C01),no.,22,21,10,8,10,2.7,C01,Malignant neoplasm of base of tongue,FALSE,FALSE
Malignant neoplasm of other and unspecified parts of tongue (C02),no.,66,62,28,20,34,2.8,C02,Malignant neoplasm of other and unspecified parts of tongue,FALSE,FALSE
Malignant neoplasm of gum (C03),no.,26,14,13,8,13,2.7,C03,Malignant neoplasm of gum,FALSE,FALSE
Malignant neoplasm of floor of mouth (C04),no.,4,6,5,2,5,3,C04,Malignant neoplasm of floor of mouth,FALSE,FALSE
Malignant neoplasm of palate (C05),no.,7,3,4,0,4,2.7,C05,Malignant neoplasm of palate,FALSE,FALSE
Malignant neoplasm of other and unspecified parts of mouth (C06),no.,40,21,14,13,22,2.8,C06,Malignant neoplasm of other and unspecified parts of mouth,FALSE,FALSE
Malignant neoplasm of parotid gland (C07),no.,24,26,12,10,13,2.7,C07,Malignant neoplasm of parotid gland,FALSE,FALSE
Malignant neoplasm of other and unspecified major salivary glands (C08),no.,13,16,6,3,1,2.1,C08,Malignant neoplasm of other and unspecified major salivary glands,FALSE,FALSE
Malignant neoplasm of tonsil (C09),no.,45,24,12,8,17,2.5,C09,Malignant neoplasm of tonsil,FALSE,FALSE
Malignant neoplasm of oropharynx (C10),no.,57,27,21,11,26,2.6,C10,Malignant neoplasm of oropharynx,FALSE,FALSE
Malignant neoplasm of nasopharynx (C11),no.,31,15,6,5,9,2.5,C11,Malignant neoplasm of nasopharynx,FALSE,FALSE
Malignant neoplasm of pyriform sinus (C12),no.,3,4,0,1,2,2.8,C12,Malignant neoplasm of pyriform sinus,FALSE,FALSE
Malignant neoplasm of hypopharynx (C13),no.,24,13,7,4,9,2.5,C13,Malignant neoplasm of hypopharynx,FALSE,FALSE
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",no.,15,15,5,5,11,3,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",FALSE,FALSE
Malignant neoplasms of digestive organs  (C15-C26),no.,6300,3227,2250,1327,1931,2.4,C15-C26,Malignant neoplasms of digestive organs,FALSE,FALSE
Malignant neoplasm of oesophagus (C15),no.,621,311,218,110,178,2.4,C15,Malignant neoplasm of oesophagus,FALSE,FALSE
Malignant neoplasm of stomach (C16),no.,567,246,175,97,117,2.2,C16,Malignant neoplasm of stomach,FALSE,FALSE
Malignant neoplasm of small intestine (C17),no.,66,40,19,23,28,2.6,C17,Malignant neoplasm of small intestine,FALSE,FALSE
Malignant neoplasm of colon (C18),no.,497,322,226,136,246,2.8,C18,Malignant neoplasm of colon,FALSE,FALSE
Malignant neoplasm of rectosigmoid junction (C19),no.,1026,477,295,206,208,2.3,C19,Malignant neoplasm of rectosigmoid junction,FALSE,FALSE
Malignant neoplasm of rectum (C20),no.,279,145,111,58,109,2.6,C20,Malignant neoplasm of rectum,FALSE,FALSE
Malignant neoplasm of anus and anal canal (C21),no.,60,29,12,13,14,2.2,C21,Malignant neoplasm of anus and anal canal,FALSE,FALSE
Malignant neoplasm of liver and intrahepatic bile ducts (C22),no.,863,519,459,251,360,2.7,C22,Malignant neoplasm of liver and intrahepatic bile ducts,FALSE,FALSE
Malignant neoplasm of gallbladder (C23),no.,74,36,28,17,26,2.5,C23,Malignant neoplasm of gallbladder,FALSE,FALSE
Malignant neoplasm of other and unspecified parts of biliary tract (C24),no.,50,46,20,10,29,2.7,C24,Malignant neoplasm of other and unspecified parts of biliary tract,FALSE,FALSE
Malignant neoplasm of pancreas (C25),no.,1908,836,497,262,370,2.2,C25,Malignant neoplasm of pancreas,FALSE,FALSE
Malignant neoplasm of other and ill-defined digestive organs (C26),no.,289,220,190,144,246,3.1,C26,Malignant neoplasm of other and ill-defined digestive organs,FALSE,FALSE
Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),no.,3576,2172,1591,934,1164,2.5,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,FALSE,FALSE
Malignant neoplasm of nasal cavity and middle ear (C30),no.,3,1,1,1,2,2.8,C30,Malignant neoplasm of nasal cavity and middle ear,FALSE,FALSE
Malignant neoplasm of accessory sinuses (C31),no.,23,9,4,1,10,2.6,C31,Malignant neoplasm of accessory sinuses,FALSE,FALSE
